date,distance_from_estuary_km,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed
2019-07-04,1.0,52.0,43.0,False,False,False
2019-07-16,0.0,31.0,94.0,False,False,False
2019-07-16,0.5,30.0,127.0,False,True,True
2019-07-16,1.0,41.0,153.0,False,True,True
2019-07-30,0.0,0.0,10.0,False,False,False
2019-07-30,0.5,0.0,26.0,False,False,False
2019-07-30,1.0,31.0,81.0,False,False,False
2019-08-13,0.0,31.0,5.0,False,False,False
2019-08-13,0.5,31.0,0.0,False,False,False
2019-08-13,1.0,414.0,141.0,False,True,True
2019-08-20,0.0,40.0,15.0,False,False,False
2019-08-20,0.5,84.0,0.0,False,False,False
2019-08-20,1.0,41.0,10.0,False,False,False
2020-06-17,0.0,41.0,32.0,False,False,False
2020-06-17,0.5,97.0,87.0,False,False,False
2020-06-17,1.0,0.0,5.0,False,False,False
2020-07-09,0.0,141.0,122.0,False,True,True
2020-07-09,0.5,100.0,61.0,False,False,False
2020-07-09,1.0,80.0,81.0,False,False,False
2020-07-17,0.0,98.0,55.0,False,False,False
2020-07-17,0.5,109.0,108.0,False,True,True
2020-07-17,1.0,131.0,99.0,False,False,False
2020-07-21,0.0,74.0,21.0,False,False,False
2020-07-21,0.5,41.0,0.0,False,False,False
2020-07-21,1.0,31.0,11.0,False,False,False
2020-08-04,0.0,86.0,21.0,False,False,False
2020-08-04,0.5,41.0,10.0,False,False,False
2020-08-04,1.0,85.0,0.0,False,False,False
2020-08-14,0.0,86.0,21.0,False,False,False
2020-08-14,0.5,41.0,0.0,False,False,False
2020-08-14,1.0,85.0,0.0,False,False,False
2020-08-19,0.0,3076.0,143.0,True,True,True
2020-08-19,0.5,3654.0,172.0,True,True,True
2020-08-19,1.0,17329.0,9932.0,True,True,True
2020-08-21,0.0,809.0,32.0,True,False,True
2020-08-21,0.5,481.0,0.0,False,False,False
2020-08-21,1.0,134.0,0.0,False,False,False
2020-09-15,0.0,262.0,32.0,False,False,False
2020-09-15,0.5,2098.0,1307.0,True,True,True
2020-09-15,1.0,132.0,26.0,False,False,False
2021-06-08,0.0,0.0,5.0,False,False,False
2021-06-08,0.5,1296.0,315.0,True,True,True
2021-06-08,1.0,0.0,0.0,False,False,False
2021-07-15,0.0,2613.0,153.0,True,True,True
2021-07-15,0.5,2359.0,54.0,True,False,True
2021-07-15,1.0,2755.0,55.0,True,False,True
2021-07-22,0.0,5172.0,49.0,True,False,True
2021-07-22,0.5,4611.0,36.0,True,False,True
2021-07-22,1.0,3076.0,78.0,True,False,True
2021-07-29,0.0,256.0,5.0,False,False,False
2021-07-29,0.5,275.0,10.0,False,False,False
2021-07-29,1.0,657.0,0.0,True,False,True
2021-08-03,0.0,148.0,21.0,False,False,False
2021-08-03,0.5,52.0,31.0,False,False,False
2021-08-03,1.0,63.0,0.0,False,False,False
2021-08-31,0.0,15531.0,677.0,True,True,True
2021-08-31,0.5,1401.0,153.0,True,True,True
2021-08-31,1.0,8664.0,808.0,True,True,True
2021-09-29,0.0,41.0,16.0,False,False,False
2021-09-29,0.5,52.0,10.0,False,False,False
2021-09-29,1.0,0.0,5.0,False,False,False
2022-06-13,0.0,10.0,16.0,False,False,False
2022-06-13,0.5,441.0,54.0,False,False,False
2022-06-13,1.0,183.0,0.0,False,False,False
2022-07-07,0.0,211.0,10.0,False,False,False
2022-07-07,0.5,30.0,5.0,False,False,False
2022-07-07,1.0,41.0,0.0,False,False,False
2022-07-20,0.0,341.0,21.0,False,False,False
2022-07-20,0.5,341.0,10.0,False,False,False
2022-07-20,1.0,556.0,21.0,True,False,True
2022-07-26,0.0,31.0,5.0,False,False,False
2022-07-26,0.5,97.0,10.0,False,False,False
2022-07-26,1.0,826.0,91.0,True,False,True
2022-08-03,0.0,393.0,26.0,False,False,False
2022-08-03,0.5,63.0,16.0,False,False,False
2022-08-03,1.0,10.0,0.0,False,False,False
2022-08-09,0.0,109.0,5.0,False,False,False
2022-08-09,0.5,41.0,0.0,False,False,False
2022-08-09,1.0,0.0,0.0,False,False,False
2022-08-16,0.0,106.0,49.0,False,False,False
2022-08-16,0.5,345.0,136.0,False,True,True
2022-08-16,1.0,422.0,141.0,False,True,True
2022-08-30,0.0,324.0,42.0,False,False,False
