date,ecoli_max,enterococcus_max,any_exceed,distance_to_outfall,precip_daily,temp_daily,wind_speed,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,month,year,is_weekend,CSO_Flag_Rain,dry_days_count,관측소코드_x,기압(hPa)_x,습도(%)_x,기온(℃)_x,수온(℃)_x,최대파고(m)_x,풍속(m/s)_x,위도_x,경도_x,gijang_관측소코드_1d_lag,gijang_관측소코드_3d_mean,gijang_관측소코드_7d_mean,gijang_기압(hPa)_1d_lag,gijang_기압(hPa)_3d_mean,gijang_기압(hPa)_7d_mean,gijang_습도(%)_1d_lag,gijang_습도(%)_3d_mean,gijang_습도(%)_7d_mean,gijang_기온(℃)_1d_lag,gijang_기온(℃)_3d_mean,gijang_기온(℃)_7d_mean,gijang_수온(℃)_1d_lag,gijang_수온(℃)_3d_mean,gijang_수온(℃)_7d_mean,gijang_최대파고(m)_1d_lag,gijang_최대파고(m)_3d_mean,gijang_최대파고(m)_7d_mean,gijang_풍속(m/s)_1d_lag,gijang_풍속(m/s)_3d_mean,gijang_풍속(m/s)_7d_mean,gijang_위도_1d_lag,gijang_위도_3d_mean,gijang_위도_7d_mean,gijang_경도_1d_lag,gijang_경도_3d_mean,gijang_경도_7d_mean,관측소코드_y,기압(hPa)_y,습도(%)_y,기온(℃)_y,수온(℃)_y,최대파고(m)_y,풍속(m/s)_y,위도_y,경도_y,meis_관측소코드_1d_lag,meis_관측소코드_3d_mean,meis_관측소코드_7d_mean,meis_기압(hPa)_1d_lag,meis_기압(hPa)_3d_mean,meis_기압(hPa)_7d_mean,meis_습도(%)_1d_lag,meis_습도(%)_3d_mean,meis_습도(%)_7d_mean,meis_기온(℃)_1d_lag,meis_기온(℃)_3d_mean,meis_기온(℃)_7d_mean,meis_수온(℃)_1d_lag,meis_수온(℃)_3d_mean,meis_수온(℃)_7d_mean,meis_최대파고(m)_1d_lag,meis_최대파고(m)_3d_mean,meis_최대파고(m)_7d_mean,meis_풍속(m/s)_1d_lag,meis_풍속(m/s)_3d_mean,meis_풍속(m/s)_7d_mean,meis_위도_1d_lag,meis_위도_3d_mean,meis_위도_7d_mean,meis_경도_1d_lag,meis_경도_3d_mean,meis_경도_7d_mean,gijang_discharge_m3_day,gijang_discharge_1d_lag,gijang_discharge_3d_mean,tide_range,tide_range_1d_lag,avg_water_temp,avg_water_temp_1d_lag,wind_sin,wind_cos,wind_sin_1d_lag,wind_cos_1d_lag,log_ecoli
2016-08-09,210,,0,0.5,0.1,27.745833333333334,11.595833333333333,1.0,1.0,1.0,1.4,29.229166666666668,8.0,2016.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26785.0,27038.0,28325.0,73.0,85.0,27.2,23.4,0.9809551553491915,0.1942343512199721,0.47101188121941,0.8821268660176678,5.351858133476067
2016-08-17,240,,0,0.5,0.0,27.78333333333333,6.891666666666667,32.5,36.3,36.3,36.9,27.041666666666668,8.0,2016.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25033.0,25266.0,26478.666666666668,103.0,90.0,27.8,25.7,0.8319541221304825,0.5548444274479993,-0.5548444274479993,0.8319541221304825,5.484796933490655
2016-08-22,230,,0,0.5,0.0,27.483333333333334,12.025,0.0,0.0,0.0,0.0,27.633333333333336,8.0,2016.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25227.0,25790.0,25742.0,110.0,124.0,28.5,28.2,0.9238795325112867,0.38268343236508984,0.2436150117860225,0.9698720152847468,5.442417710521793
2016-10-04,410,,0,0.5,0.3,22.483333333333334,17.691666666666666,0.0,0.5,8.5,55.5,24.1875,10.0,2016.0,0.0,0.0,0.0,22106.0,1016.5,73.0,22.5,23.6,3.2,6.8,36.35,129.7833,22106.0,22106.0,,1009.5,1014.4333333333334,,88.0,79.0,,23.3,22.333333333333332,,23.4,23.133333333333336,,1.5,1.2,,5.3,3.733333333333333,,36.35,36.35,,129.7833,129.7833,,22189.0,1015.5,84.0,23.4,23.7,3.7,7.6,35.3453,129.8414,22189.0,22189.0,,1010.3,1014.6999999999999,,92.0,85.66666666666667,,24.0,23.0,,23.3,23.266666666666666,,1.0,1.2,,4.1,3.733333333333333,,35.3453,35.3453,,129.8414,129.8414,,30621.0,29321.0,30989.0,104.0,103.0,23.9,24.0,0.5962248749656158,0.8028174751911146,0.9892723329629883,-0.14608302856241176,6.018593214496234
2017-05-15,63,,0,0.5,0.0,17.879166666666666,15.475,0.0,0.0,21.3,21.900000000000002,18.195833333333333,5.0,2017.0,0.0,0.0,3.0,22106.0,1010.2,61.0,17.0,16.9,1.9,5.3,36.35,129.7833,22106.0,22106.0,22106.0,1006.9,1007.4666666666666,1009.1428571428571,48.0,71.0,73.28571428571429,18.6,17.933333333333334,17.614285714285714,16.6,16.833333333333336,16.54285714285714,2.1,2.1999999999999997,2.0285714285714285,5.7,5.7,5.128571428571428,36.35,36.35,36.35,129.7833,129.7833,129.7833,22189.0,1011.1,67.0,17.0,16.9,2.5,6.9,35.3453,129.8414,22189.0,22189.0,22189.0,1008.5,1008.7666666666665,1010.3857142857142,70.0,82.66666666666667,82.71428571428571,17.4,17.13333333333333,17.014285714285712,16.4,16.3,16.485714285714288,2.8,2.5333333333333328,2.6142857142857143,7.2,5.899999999999998,6.314285714285715,35.3453,35.3453,35.3453,129.8414,129.8414,129.8414,25048.0,27284.0,27744.0,84.0,97.0,14.1,14.2,-0.7071067811865477,0.7071067811865474,-0.9414705448120378,-0.3370952584230822,4.1588830833596715
2017-07-07,581,,1,0.5,5.1,24.895833333333332,15.116666666666667,1.9,7.9,15.2,27.7,24.741666666666664,7.0,2017.0,0.0,1.0,0.0,22106.0,1008.7,92.0,21.9,20.7,1.4,5.1,36.35,129.7833,22106.0,22106.0,22106.0,1010.7,1009.2666666666668,1007.8142857142858,96.0,94.33333333333333,91.71428571428571,21.4,21.099999999999998,21.385714285714283,20.9,20.433333333333334,20.428571428571427,0.7,1.0333333333333332,1.7428571428571427,4.0,3.166666666666668,4.714285714285714,36.35,36.35,36.35,129.7833,129.7833,129.7833,22189.0,1010.3,95.0,24.7,24.2,1.8,6.2,35.3453,129.8414,22189.0,22189.0,22189.0,1011.7,1009.9999999999999,1009.3857142857142,94.0,94.66666666666667,95.0,24.3,23.133333333333336,23.385714285714283,23.9,23.0,22.571428571428573,1.3,1.5333333333333325,1.8714285714285714,4.0,3.9333333333333313,6.471428571428571,35.3453,35.3453,35.3453,129.8414,129.8414,129.8414,23821.0,24546.0,27946.333333333332,84.0,75.0,17.4,17.8,-0.9040825496607784,0.4273578633871923,-0.7071067811865475,-0.7071067811865477,6.366470447731438
2017-07-13,341,,0,0.5,0.0,26.537499999999998,11.979166666666666,0.0,5.4,21.4,23.799999999999997,27.46666666666667,7.0,2017.0,0.0,0.0,2.0,22106.0,1006.0,,20.5,18.1,1.3,5.2,36.35,129.7833,22106.0,22106.0,22106.0,1008.1,1005.6,1007.0714285714286,,,,20.5,20.233333333333334,21.099999999999998,18.4,18.2,19.571428571428573,1.0,1.9666666666666668,1.557142857142857,3.6,6.600000000000001,5.471428571428571,36.35,36.35,36.35,129.7833,129.7833,129.7833,22189.0,1007.6,93.0,24.4,23.6,1.9,8.8,35.3453,129.8414,22189.0,22189.0,22189.0,1009.1,1007.5,1008.7142857142857,92.0,92.66666666666667,93.85714285714286,24.1,24.400000000000002,24.585714285714285,23.2,22.96666666666667,23.557142857142857,2.0,2.8333333333333326,2.1142857142857143,6.2,8.066666666666665,6.957142857142857,35.3453,35.3453,35.3453,129.8414,129.8414,129.8414,24677.0,24259.0,25450.0,97.0,97.0,16.2,16.0,-0.3370952584230819,-0.941470544812038,-0.998806137341434,0.04884976979561359,5.834810737062605
2017-07-19,1,,0,0.5,0.2,27.525000000000002,6.808333333333334,6.4,7.800000000000001,7.9,10.000000000000002,26.8,7.0,2017.0,0.0,0.0,0.0,22106.0,1006.2,,22.5,19.7,0.6,3.1,36.35,129.7833,22106.0,22106.0,22106.0,1008.2,1009.9333333333334,1008.6428571428571,,,,21.2,21.266666666666666,20.842857142857145,17.9,17.8,18.057142857142857,0.6,0.7333333333333334,1.0714285714285714,4.4,4.300000000000002,4.457142857142857,36.35,36.35,36.35,129.7833,129.7833,129.7833,22189.0,1007.0,87.0,27.1,26.8,1.1,2.8,35.3453,129.8414,22189.0,22189.0,22189.0,1009.2,1011.0999999999999,1009.9714285714286,89.0,90.0,92.28571428571429,26.4,26.3,25.4,26.3,25.5,24.428571428571427,1.5,1.9666666666666657,1.9,7.8,8.33333333333333,8.042857142857143,35.3453,35.3453,35.3453,129.8414,129.8414,129.8414,23864.0,26683.0,26062.0,71.0,64.0,18.2,17.6,-0.38268343236508967,-0.9238795325112868,-0.67172058932299,0.7408045962867502,0.6931471805599453
2017-07-27,109,,0,0.5,0.0,24.791666666666668,13.595833333333333,0.0,15.2,20.1,20.400000000000002,25.099999999999998,7.0,2017.0,0.0,0.0,2.0,22106.0,1009.1,85.0,23.8,23.5,1.8,2.5,36.35,129.7833,22106.0,22106.0,22106.0,1009.4,,,87.0,,,22.8,,,21.3,,,2.4,,,3.6,,,36.35,36.35,36.35,129.7833,129.7833,129.7833,22189.0,,,,,,,35.3453,129.8414,22189.0,22189.0,22189.0,,,,,,,,,,,,,,,,,,,35.3453,35.3453,35.3453,129.8414,129.8414,129.8414,22681.0,23325.0,24361.333333333332,106.0,120.0,23.4,22.3,0.941470544812038,0.3370952584230821,0.5962248749656158,0.8028174751911146,4.700480365792417
2017-08-02,959,,1,0.5,0.0,25.912499999999998,14.645833333333334,0.0,5.0,5.0,5.0,26.295833333333334,8.0,2017.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24070.0,22966.0,23711.333333333332,45.0,40.0,26.3,25.7,0.8580649057236446,0.5135412520581701,0.9892723329629883,0.14608302856241165,6.866933284461882
2017-08-11,243,,0,0.5,2.3000000000000003,26.412499999999998,12.75,5.9,30.799999999999997,31.199999999999996,37.099999999999994,27.041666666666668,8.0,2017.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23801.0,22891.0,24273.333333333332,106.0,111.0,28.1,26.6,0.941470544812038,0.3370952584230821,0.3370952584230821,0.941470544812038,5.497168225293202
2017-08-17,145,,0,0.5,6.7,25.704166666666666,9.225,6.8,16.9,118.69999999999999,121.69999999999999,25.791666666666668,8.0,2017.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26430.0,27590.0,28990.0,60.0,59.0,27.3,27.2,0.980614658546613,-0.19594614424251758,0.9809551553491915,0.1942343512199721,4.983606621708336
2017-08-23,97,,0,0.5,1.1,28.116666666666664,16.125,12.7,23.4,28.599999999999998,31.999999999999996,26.6125,8.0,2017.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26814.0,27176.0,27032.666666666668,124.0,128.0,18.0,22.2,-0.9952273999818312,-0.09758289975914979,-0.6717205893229901,-0.7408045962867502,4.584967478670572
