date,wind_speed_10m_max,wind_direction_10m_dominant
2014-01-01,6.2222272,267.5
2014-01-02,4.027781,299.9166666666667
2014-01-03,2.5833354000000006,295.3333333333333
2014-01-04,4.6388926,177.375
2014-01-05,4.3611146000000005,165.41666666666666
2014-01-06,4.166670000000001,220.29166666666666
2014-01-07,3.7777808000000004,303.375
2014-01-08,5.8888936,335.5
2014-01-09,8.1111176,320.1666666666667
2014-01-10,6.2222272,305.5
2014-01-11,3.333336,307.75
2014-01-12,4.916670600000001,303.0
2014-01-13,5.638893400000001,335.7083333333333
2014-01-14,4.5000036,342.5833333333333
2014-01-15,5.638893400000001,334.5416666666667
2014-01-16,3.6388918,337.125
2014-01-17,4.5277814,332.6666666666667
2014-01-18,6.4722274,312.9166666666667
2014-01-19,4.7777816,258.2083333333333
2014-01-20,5.6666712,272.7083333333333
2014-01-21,6.111116000000001,309.0833333333333
2014-01-22,4.3888924000000005,321.875
2014-01-23,3.3055582000000006,281.7083333333333
2014-01-24,6.055560400000001,255.125
2014-01-25,6.194449400000001,251.58333333333334
2014-01-26,6.0277826,178.5
2014-01-27,5.555560000000001,205.04166666666666
2014-01-28,4.666670400000001,290.25
2014-01-29,3.333336,266.4166666666667
2014-01-30,6.833338800000001,257.5416666666667
2014-01-31,3.5833362000000006,249.04166666666666
2014-02-01,5.305559800000001,201.75
2014-02-02,3.9166698,208.79166666666666
2014-02-03,6.4444496000000004,333.125
2014-02-04,7.500006000000001,323.4166666666667
2014-02-05,4.9722262,171.66666666666666
2014-02-06,4.944448400000001,78.58333333333333
2014-02-07,8.138895400000001,52.833333333333336
2014-02-08,7.444450400000001,44.583333333333336
2014-02-09,5.555560000000001,152.875
2014-02-10,8.472229,32.666666666666664
2014-02-11,6.5000052,40.5
2014-02-12,5.305559800000001,35.875
2014-02-13,6.5833386,36.833333333333336
2014-02-14,8.5833402,39.0
2014-02-15,4.916670600000001,144.25
2014-02-16,3.0000024000000005,209.79166666666666
2014-02-17,7.111116800000001,136.5
2014-02-18,8.4166734,43.375
2014-02-19,6.138893800000001,40.5
2014-02-20,2.9444468,205.625
2014-02-21,3.8333364000000008,246.04166666666666
2014-02-22,2.916669,202.29166666666666
2014-02-23,3.1111136,63.458333333333336
2014-02-24,3.6388918,245.875
2014-02-25,3.1111136,245.25
2014-02-26,5.7222268000000005,52.291666666666664
2014-02-27,4.888892800000001,232.125
2014-02-28,6.305560600000001,121.20833333333333
2014-03-01,4.2222256,56.166666666666664
2014-03-02,5.444448800000001,174.08333333333334
2014-03-03,4.3888924000000005,55.583333333333336
2014-03-04,3.3611138,141.25
2014-03-05,6.194449400000001,330.5416666666667
2014-03-06,5.6666712,321.7083333333333
2014-03-07,5.305559800000001,305.2083333333333
2014-03-08,3.7222252000000005,282.4583333333333
2014-03-09,6.750005400000001,302.625
