date,solar_radiation_sum
2014-01-01,11.2572
2014-01-02,10.4796
2014-01-03,8.4564
2014-01-04,10.6632
2014-01-05,8.236799999999999
2014-01-06,10.998
2014-01-07,10.475999999999999
2014-01-08,1.5695999999999999
2014-01-09,12.751199999999999
2014-01-10,12.3264
2014-01-11,11.5308
2014-01-12,10.494
2014-01-13,12.8592
2014-01-14,12.880799999999999
2014-01-15,12.9636
2014-01-16,12.8088
2014-01-17,12.852
2014-01-18,12.69
2014-01-19,13.3092
2014-01-20,9.7668
2014-01-21,12.2904
2014-01-22,13.442400000000001
2014-01-23,13.572
2014-01-24,10.7532
2014-01-25,4.7808
2014-01-26,13.528799999999999
2014-01-27,13.6656
2014-01-28,11.8476
2014-01-29,13.8096
2014-01-30,8.873999999999999
2014-01-31,14.439599999999999
2014-02-01,10.5912
2014-02-02,11.7432
2014-02-03,12.398399999999999
2014-02-04,15.5124
2014-02-05,13.5288
2014-02-06,8.315999999999999
2014-02-07,4.9824
2014-02-08,10.5552
2014-02-09,8.3124
2014-02-10,10.1376
2014-02-11,8.1972
2014-02-12,11.228399999999999
2014-02-13,7.9235999999999995
2014-02-14,6.3144
2014-02-15,15.379199999999999
2014-02-16,11.772
2014-02-17,6.8508
2014-02-18,7.1316
2014-02-19,10.954799999999999
2014-02-20,15.3324
2014-02-21,16.840799999999998
2014-02-22,14.1048
2014-02-23,15.7464
2014-02-24,17.6904
2014-02-25,16.9236
2014-02-26,3.3516
2014-02-27,14.155199999999999
2014-02-28,9.3132
2014-03-01,8.2836
2014-03-02,15.084
2014-03-03,17.6508
2014-03-04,10.7172
2014-03-05,19.5768
2014-03-06,18.8928
2014-03-07,20.8584
2014-03-08,19.439999999999998
2014-03-09,18.0
2014-03-10,21.3876
2014-03-11,20.9952
2014-03-12,5.31
2014-03-13,4.0536
2014-03-14,18.7164
2014-03-15,21.5748
2014-03-16,20.8404
2014-03-17,20.6676
2014-03-18,19.1628
2014-03-19,13.7196
2014-03-20,14.1084
2014-03-21,20.951999999999998
2014-03-22,23.0004
2014-03-23,23.0328
2014-03-24,23.076
2014-03-25,9.7056
2014-03-26,9.0468
2014-03-27,20.8944
2014-03-28,22.662
2014-03-29,5.0004
2014-03-30,11.322
2014-03-31,16.9452
2014-04-01,21.2292
2014-04-02,23.8716
2014-04-03,17.9604
2014-04-04,22.834799999999998
2014-04-05,20.8692
2014-04-06,25.4556
2014-04-07,21.3984
2014-04-08,25.3512
2014-04-09,25.3116
2014-04-10,24.8976
2014-04-11,14.256
2014-04-12,14.6664
2014-04-13,11.282399999999999
2014-04-14,26.031599999999997
2014-04-15,25.3692
2014-04-16,16.434
2014-04-17,16.6032
2014-04-18,17.3304
2014-04-19,11.6388
2014-04-20,20.394
2014-04-21,25.326
2014-04-22,17.568
2014-04-23,26.5212
2014-04-24,26.4564
2014-04-25,26.82
2014-04-26,20.6784
2014-04-27,15.235199999999999
2014-04-28,6.4079999999999995
2014-04-29,17.647199999999998
2014-04-30,15.3972
2014-05-01,21.9852
2014-05-02,27.0612
2014-05-03,28.0548
2014-05-04,13.6548
2014-05-05,28.0764
2014-05-06,28.422
2014-05-07,28.5264
2014-05-08,20.2824
2014-05-09,27.5616
2014-05-10,27.9144
2014-05-11,23.6844
