date,suyeong_vol,nambu_vol
2014-08-03,471017,382668
2014-08-04,512901,394350
2014-08-05,540397,396216
2014-08-06,539207,406415
2014-08-07,471463,392147
2014-08-08,430452,384588
2014-08-09,438049,378301
2014-08-10,427447,367623
2014-08-11,497785,384928
2014-08-12,416335,387158
2014-08-13,392801,372776
2014-08-14,478702,396165
2014-08-15,500330,406776
2014-08-16,492257,401115
2014-08-17,457716,398876
2014-08-18,496934,405683
2014-08-19,536970,416672
2014-08-20,510987,418586
2014-08-21,529265,415673
2014-08-22,538617,420345
2014-08-23,490770,413957
2014-08-24,459687,403925
2014-08-25,460999,408124
2014-08-26,516111,426814
2014-08-27,513333,413401
2014-08-28,463901,413717
2014-08-29,436610,411995
2014-08-30,422071,398445
2014-08-31,405120,388131
2014-09-01,396869,400056
2014-09-02,398988,375339
2014-09-03,431816,400540
2014-09-04,481734,429497
2014-09-05,466373,418306
2014-09-06,454695,391923
2014-09-07,444642,403469
2014-09-08,420548,395323
2014-09-09,409645,394804
2014-09-10,411595,404747
2014-09-11,398869,389853
2014-09-12,384000,369498
2014-09-13,391545,369349
2014-09-14,381235,358361
2014-09-15,380737,359321
2014-09-16,384725,359606
2014-09-17,375298,360246
2014-09-18,381410,353811
2014-09-19,377336,337828
2014-09-20,385390,344527
2014-09-21,372826,342457
2014-09-22,369503,357912
2014-09-23,364832,347464
2014-09-24,476686,411984
2014-09-25,475643,416525
2014-09-26,442714,402371
2014-09-27,424098,392157
2014-09-28,410171,377528
2014-09-29,395651,360320
2014-09-30,388137,344290
2014-10-01,386409,337107
2014-10-02,385404,343578
2014-10-03,380944,348128
2014-10-04,368685,340166
2014-10-05,374606,352889
2014-10-06,377401,338914
2014-10-07,375158,336216
2014-10-08,373794,352777
2014-10-09,377082,348280
2014-10-10,371282,349051
2014-10-11,370678,359026
2014-10-12,373636,332043
2014-10-13,447171,400948
2014-10-14,415304,362342
2014-10-15,379845,340350
2014-10-16,369445,343880
2014-10-17,362957,343594
2014-10-18,369737,327818
2014-10-19,371128,340124
2014-10-20,445634,381085
2014-10-21,425123,382467
2014-10-22,495424,381604
2014-10-23,489396,392380
2014-10-24,430538,404251
2014-10-25,408577,389765
2014-10-26,398915,374600
2014-10-27,396619,372942
2014-10-28,371654,348151
2014-10-29,372114,336904
2014-10-30,365968,339742
2014-10-31,412027,362726
2014-11-01,453331,399521
2014-11-02,389560,369506
2014-11-03,370189,338728
2014-11-04,365222,350473
2014-11-05,361873,347482
2014-11-06,372269,344142
2014-11-07,361531,346916
2014-11-08,364853,341836
2014-11-09,378889,353107
2014-11-10,357794,334163
2014-11-11,353608,334058
2014-11-12,354916,334209
2014-11-13,348795,327416
2014-11-14,357738,311958
2014-11-15,361150,317192
2014-11-16,360903,309440
2014-11-17,348375,326010
2014-11-18,329218,308447
2014-11-19,323032,313726
2014-11-20,319201,306862
2014-11-21,315964,316577
2014-11-22,328186,318919
2014-11-23,327146,320689
2014-11-24,336765,336787
2014-11-25,422788,392433
2014-11-26,353227,327853
2014-11-27,343223,323867
2014-11-28,331683,342441
2014-11-29,339077,330002
2014-11-30,347901,338350
2014-12-01,345799,325444
2014-12-02,314146,311638
2014-12-03,311084,288876
2014-12-04,315544,299569
2014-12-05,314328,306104
2014-12-06,320033,305699
2014-12-07,321169,317494
2014-12-08,336946,326752
2014-12-09,313741,311659
2014-12-10,314532,318196
2014-12-11,313321,312543
2014-12-12,319503,304396
2014-12-13,324042,305396
2014-12-14,323836,314614
2014-12-15,307513,319200
2014-12-16,376355,362988
2014-12-17,305147,306610
2014-12-18,308046,310300
2014-12-19,318050,309623
2014-12-20,393821,382690
2014-12-21,335286,332841
2014-12-22,306537,317773
2014-12-23,307524,310533
2014-12-24,311803,314081
2014-12-25,310113,307820
2014-12-26,305717,317832
2014-12-27,315261,304887
2014-12-28,314918,312636
2014-12-29,312028,314427
2014-12-30,299733,317549
2014-12-31,311983,304681
2015-01-01,300137,306266
2015-01-02,299899,298994
2015-01-03,303172,304895
2015-01-04,310997,312417
2015-01-05,303962,316578
2015-01-06,394080,380661
2015-01-07,305651,318494
2015-01-08,307492,313682
2015-01-09,308419,312685
2015-01-10,313615,318771
2015-01-11,310648,311046
2015-01-12,305145,316936
2015-01-13,301500,321093
2015-01-14,307427,314468
2015-01-15,350156,342730
2015-01-16,311224,333238
2015-01-17,312267,317486
2015-01-18,312745,316835
2015-01-19,303689,317296
2015-01-20,298746,317826
2015-01-21,307993,326541
2015-01-22,358970,350106
2015-01-23,308110,319599
2015-01-24,309165,331356
2015-01-25,312968,318830
2015-01-26,369266,380829
2015-01-27,304877,312592
2015-01-28,302045,308319
2015-01-29,298090,307762
2015-01-30,300168,303207
2015-01-31,307164,313066
2015-02-01,308838,312663
2015-02-02,307737,310070
2015-02-03,298229,302341
2015-02-04,295412,298672
2015-02-05,300142,299766
2015-02-06,299799,313828
2015-02-07,308365,299614
2015-02-08,302321,311666
2015-02-09,293338,312351
2015-02-10,296227,306693
2015-02-11,299828,305055
2015-02-12,298461,289656
2015-02-13,296332,310517
2015-02-14,315105,310268
2015-02-15,315130,319539
2015-02-16,385512,360614
2015-02-17,339348,329917
2015-02-18,335035,342761
2015-02-19,302829,323622
2015-02-20,300816,288120
2015-02-21,328705,339488
2015-02-22,401748,381231
2015-02-23,327658,328895
2015-02-24,306742,325078
2015-02-25,301675,316796
2015-02-26,302172,315189
2015-02-27,299446,310254
2015-02-28,311817,316822
2015-03-01,400960,368314
2015-03-02,320961,332760
2015-03-03,340932,366314
2015-03-04,334606,354714
2015-03-05,317287,357797
2015-03-06,312686,348448
2015-03-07,318425,362062
2015-03-08,317602,344625
2015-03-09,311108,357458
2015-03-10,291672,328928
2015-03-11,297526,330472
2015-03-12,299219,341251
2015-03-13,304030,351334
2015-03-14,333547,363661
2015-03-15,314870,346485
2015-03-16,306735,322404
2015-03-17,299388,341233
2015-03-18,355548,365927
2015-03-19,443309,385128
2015-03-20,380144,386006
2015-03-21,359033,377229
2015-03-22,348612,386809
2015-03-23,325040,360295
2015-03-24,312424,337560
2015-03-25,308413,336258
2015-03-26,307334,329988
2015-03-27,308608,333859
2015-03-28,321799,331650
2015-03-29,321726,344195
2015-03-30,316958,339807
2015-03-31,329288,346920
2015-04-01,330404,348816
2015-04-02,332400,339649
2015-04-03,449772,391091
2015-04-04,407188,386409
2015-04-05,484207,391678
2015-04-06,484502,385887
2015-04-07,412692,374130
2015-04-08,380998,381352
2015-04-09,362221,373033
2015-04-10,349179,384395
2015-04-11,351474,381174
2015-04-12,341405,366856
2015-04-13,453233,395383
2015-04-14,430417,378358
2015-04-15,375534,385981
2015-04-16,356943,384453
2015-04-17,343752,374349
2015-04-18,358155,379996
2015-04-19,433715,386349
2015-04-20,492872,387373
2015-04-21,485090,386269
2015-04-22,448806,380489
2015-04-23,400520,393585
2015-04-24,383177,385533
2015-04-25,380698,378444
2015-04-26,365160,374168
2015-04-27,353571,390090
2015-04-28,345581,384308
2015-04-29,413130,371704
2015-04-30,391283,387427
2015-05-01,367149,398166
2015-05-02,355153,398106
2015-05-03,444928,394212
2015-05-04,493837,403931
2015-05-05,408794,396557
2015-05-06,374579,400192
2015-05-07,358744,392925
2015-05-08,348337,399568
2015-05-09,350131,391195
2015-05-10,345460,383040
2015-05-11,353402,369506
2015-05-12,504151,387167
2015-05-13,487176,392821
2015-05-14,426838,396309
2015-05-15,415593,388565
2015-05-16,389093,372495
2015-05-17,379696,394660
2015-05-18,407488,388425
2015-05-19,446244,400786
2015-05-20,387810,400358
2015-05-21,357155,396783
2015-05-22,349206,393521
2015-05-23,346342,387084
2015-05-24,341342,389604
2015-05-25,335476,392019
2015-05-26,332137,398331
2015-05-27,333200,397523
2015-05-28,327443,370497
2015-05-29,329788,387730
2015-05-30,345200,365618
2015-05-31,338440,375138
2015-06-01,322851,370626
2015-06-02,314349,363072
2015-06-03,319538,383310
2015-06-04,317572,365249
2015-06-05,362703,380429
2015-06-06,330616,376086
2015-06-07,321268,362549
2015-06-08,320974,356736
2015-06-09,321647,349271
2015-06-10,324224,365391
2015-06-11,315819,355723
2015-06-12,328922,350436
2015-06-13,322038,339777
2015-06-14,328315,357378
2015-06-15,314965,356526
2015-06-16,314823,341712
2015-06-17,315735,361561
2015-06-18,311359,356630
2015-06-19,313128,349966
2015-06-20,315382,339208
2015-06-21,314473,336875
2015-06-22,311061,345642
2015-06-23,313697,342054
2015-06-24,312015,335744
2015-06-25,324999,339246
2015-06-26,462082,392196
2015-06-27,343320,378745
2015-06-28,326275,334387
2015-06-29,323018,342919
2015-06-30,367756,352035
2015-07-01,393809,381437
2015-07-02,332836,384507
2015-07-03,329325,370509
2015-07-04,328815,360462
2015-07-05,326989,354501
2015-07-06,314015,342240
2015-07-07,382844,365118
2015-07-08,478572,394308
2015-07-09,489518,403276
2015-07-10,422120,394758
2015-07-11,406925,385244
2015-07-12,435179,387782
