distance_from_estuary_km,precip_daily,temp_daily,wind_max,gijang_discharge_m3_day,discharge_95th_thresh,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,wind_max_1d_lag,gijang_discharge_1d_lag,gijang_thresh_1d_lag,CSO_Flag_Rain,Dual_CSO_Flag,month,is_weekend,avg_water_temp,avg_water_temp_1d_lag,tide_range,tide_range_1d_lag,wind_sin,wind_cos,wind_sin_1d_lag,wind_cos_1d_lag,dry_days_count,actual,predicted_prob,predicted_class,is_error
0.0,0.0,26.9125,18.6,6104.8,7623.115,0.0,0.0,0.0,0.0,26.84583333333333,19.5,3016.3,5232.9000000000015,0.0,0.0,8.0,0.0,16.5,17.1,117.0,131.0,-0.5962248749656155,-0.8028174751911148,-0.5962248749656155,-0.8028174751911148,6.0,0,0.5603431,1,True
0.5,0.0,26.9125,18.6,6104.8,7623.115,0.0,0.0,0.0,0.0,26.84583333333333,19.5,3016.3,5232.9000000000015,0.0,0.0,8.0,0.0,16.5,17.1,117.0,131.0,-0.5962248749656155,-0.8028174751911148,-0.5962248749656155,-0.8028174751911148,6.0,0,0.52550894,1,True
0.0,0.0,24.9125,17.7,5980.6,8106.594999999999,17.7,22.9,22.9,23.4,25.104166666666668,14.6,450.7,5880.935,1.0,0.0,8.0,0.0,25.3,24.8,101.0,107.0,0.8580649057236446,0.5135412520581701,0.47101188121941,0.8821268660176678,1.0,1,0.19987996,0,True
0.5,0.0,24.9125,17.7,5980.6,8106.594999999999,17.7,22.9,22.9,23.4,25.104166666666668,14.6,450.7,5880.935,1.0,0.0,8.0,0.0,25.3,24.8,101.0,107.0,0.8580649057236446,0.5135412520581701,0.47101188121941,0.8821268660176678,1.0,0,0.3587347,1,True
1.0,0.0,24.9125,17.7,5980.6,8106.594999999999,17.7,22.9,22.9,23.4,25.104166666666668,14.6,450.7,5880.935,1.0,0.0,8.0,0.0,25.3,24.8,101.0,107.0,0.8580649057236446,0.5135412520581701,0.47101188121941,0.8821268660176678,1.0,0,0.34369174,1,True
0.0,0.0,21.225,15.9,5865.9,7393.07,0.0,0.0,2.0,37.9,20.4125,7.7,2381.4,5263.539999999999,0.0,0.0,9.0,0.0,23.5,23.3,48.0,61.0,0.7408045962867501,-0.6717205893229901,0.7727335734973508,-0.6347305132022678,3.0,0,0.6070349,1,True
1.0,0.0,21.225,15.9,5866.4,7393.07,0.0,0.0,2.0,37.9,20.4125,7.7,2381.4,5263.539999999999,0.0,0.0,9.0,0.0,23.5,23.3,48.0,61.0,0.7408045962867501,-0.6717205893229901,0.7727335734973508,-0.6347305132022678,3.0,0,0.40403563,1,True
0.0,0.0,16.508333333333333,14.5,6383.3,7963.889999999999,0.0,20.09999999999999,21.2,21.2,14.879166666666668,16.2,3257.1,5126.300000000001,1.0,0.0,5.0,0.0,15.2,15.1,84.0,103.0,-0.0488497697956132,-0.998806137341434,-0.47101188121941,-0.8821268660176678,2.0,0,0.42204756,1,True
0.5,0.0,16.508333333333333,14.5,6383.3,7963.889999999999,0.0,20.09999999999999,21.2,21.2,14.879166666666668,16.2,3257.1,5126.300000000001,1.0,0.0,5.0,0.0,15.2,15.1,84.0,103.0,-0.0488497697956132,-0.998806137341434,-0.47101188121941,-0.8821268660176678,2.0,1,0.1459178,0,True
1.0,0.0,16.508333333333333,14.5,6383.3,7963.889999999999,0.0,20.09999999999999,21.2,21.2,14.879166666666668,16.2,3257.1,5126.300000000001,1.0,0.0,5.0,0.0,15.2,15.1,84.0,103.0,-0.0488497697956132,-0.998806137341434,-0.47101188121941,-0.8821268660176678,2.0,0,0.58509356,1,True
0.0,0.0,24.2875,16.2,6045.8,7535.775,0.0,0.0,6.000000000000001,7.300000000000001,24.6875,9.2,4785.9,5179.600000000001,0.0,0.0,7.0,0.0,20.8,20.3,102.0,90.0,0.1959461442425177,0.980614658546613,0.2907021935982524,0.9568135840576074,3.0,0,0.5703604,1,True
0.5,0.0,24.2875,16.2,6045.8,7535.775,0.0,0.0,6.000000000000001,7.300000000000001,24.6875,9.2,4785.9,5179.600000000001,0.0,0.0,7.0,0.0,20.8,20.3,102.0,90.0,0.1959461442425177,0.980614658546613,0.2907021935982524,0.9568135840576074,3.0,0,0.5626998,1,True
1.0,0.0,24.2875,16.2,6045.8,7535.775,0.0,0.0,6.000000000000001,7.300000000000001,24.6875,9.2,4785.9,5179.600000000001,0.0,0.0,7.0,0.0,20.8,20.3,102.0,90.0,0.1959461442425177,0.980614658546613,0.2907021935982524,0.9568135840576074,3.0,0,0.5408247,1,True
0.0,0.7,27.354166666666668,18.3,6104.3,7393.07,4.2,4.9,4.900000000000001,4.9,27.025,11.6,1408.7,5316.840000000001,0.0,0.0,7.0,0.0,19.3,20.7,84.0,99.0,-0.3826834323650896,-0.9238795325112868,0.7727335734973511,0.6347305132022676,0.0,0,0.36917064,1,True
0.5,0.7,27.354166666666668,18.3,6104.3,7393.07,4.2,4.9,4.900000000000001,4.9,27.025,11.6,1408.7,5316.840000000001,0.0,0.0,7.0,0.0,19.3,20.7,84.0,99.0,-0.3826834323650896,-0.9238795325112868,0.7727335734973511,0.6347305132022676,0.0,0,0.36917064,1,True
1.0,0.7,27.354166666666668,18.3,6104.3,7393.07,4.2,4.9,4.900000000000001,4.9,27.025,11.6,1408.7,5316.840000000001,0.0,0.0,7.0,0.0,19.3,20.7,84.0,99.0,-0.3826834323650896,-0.9238795325112868,0.7727335734973511,0.6347305132022676,0.0,0,0.55385953,1,True
0.5,0.1,27.745833333333334,17.1,6487.6,7054.359999999999,1.0,1.0,1.0000000000000036,1.4,29.229166666666668,6.9,1457.2,5126.300000000001,0.0,0.0,8.0,0.0,27.2,23.4,73.0,85.0,0.9809551553491916,0.1942343512199721,0.47101188121941,0.8821268660176678,0.0,0,0.35117185,1,True
