지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2014-01-01,1.8,345.9
923,기장,2014-01-02,1.9,284.1
923,기장,2014-01-03,1.8,253.1
923,기장,2014-01-04,2.2,81.6
923,기장,2014-01-05,1.7,2.8
923,기장,2014-01-06,1.8,2.8
923,기장,2014-01-07,2,281.3
923,기장,2014-01-08,1.5,320.6
923,기장,2014-01-09,1.9,326.3
923,기장,2014-01-10,1.3,261.6
923,기장,2014-01-11,1.5,225
923,기장,2014-01-12,1.6,289.7
923,기장,2014-01-13,1.6,194.1
923,기장,2014-01-14,1.9,81.6
923,기장,2014-01-15,1.6,112.5
923,기장,2014-01-16,1.8,337.5
923,기장,2014-01-17,1.6,42.2
923,기장,2014-01-18,2,295.3
923,기장,2014-01-19,1.9,196.9
923,기장,2014-01-20,2.3,272.8
923,기장,2014-01-21,1.8,348.8
923,기장,2014-01-22,1.7,284.1
923,기장,2014-01-23,2.1,222.2
923,기장,2014-01-24,3,264.4
923,기장,2014-01-25,2.3,272.8
923,기장,2014-01-26,2.1,67.5
923,기장,2014-01-27,2.6,250.3
923,기장,2014-01-28,1.8,278.4
923,기장,2014-01-29,1.7,185.6
923,기장,2014-01-30,2,264.4
923,기장,2014-01-31,1.7,334.7
923,기장,2014-02-01,1.5,84.4
923,기장,2014-02-02,1.6,241.9
923,기장,2014-02-03,2,300.9
923,기장,2014-02-04,1.9,320.6
923,기장,2014-02-05,1.5,90
923,기장,2014-02-06,2.2,33.8
923,기장,2014-02-07,3.4,22.5
923,기장,2014-02-08,2.9,56.3
923,기장,2014-02-09,2.2,348.8
923,기장,2014-02-10,2.5,47.8
923,기장,2014-02-11,2.9,36.6
923,기장,2014-02-12,2.7,331.9
923,기장,2014-02-13,3.1,70.3
923,기장,2014-02-14,4.1,357.2
923,기장,2014-02-15,2.5,11.3
923,기장,2014-02-16,2,213.8
923,기장,2014-02-17,2.9,56.3
923,기장,2014-02-18,3.8,53.4
923,기장,2014-02-19,2.6,5.6
923,기장,2014-02-20,1.6,188.4
923,기장,2014-02-21,1.4,25.3
923,기장,2014-02-22,2.2,84.4
923,기장,2014-02-23,1.7,0
923,기장,2014-02-24,1.9,230.6
923,기장,2014-02-25,1.3,227.8
923,기장,2014-02-26,2.3,78.8
923,기장,2014-02-27,1.9,36.6
923,기장,2014-02-28,2.5,33.8
923,기장,2014-03-01,1.6,42.2
923,기장,2014-03-02,2.6,118.1
923,기장,2014-03-03,2,39.4
923,기장,2014-03-04,1.6,98.4
923,기장,2014-03-05,2.1,92.8
923,기장,2014-03-06,1.8,19.7
923,기장,2014-03-07,1.9,334.7
923,기장,2014-03-08,1.8,182.8
923,기장,2014-03-09,1.9,295.3
923,기장,2014-03-10,2.1,230.6
923,기장,2014-03-11,2.2,225
923,기장,2014-03-12,1.9,284.1
923,기장,2014-03-13,3.6,50.6
923,기장,2014-03-14,1.6,61.9
923,기장,2014-03-15,2.5,303.8
923,기장,2014-03-16,2,275.6
923,기장,2014-03-17,2.8,230.6
923,기장,2014-03-18,3,258.8
923,기장,2014-03-19,2.7,92.8
923,기장,2014-03-20,1.6,70.3
923,기장,2014-03-21,1.4,292.5
923,기장,2014-03-22,2.3,253.1
923,기장,2014-03-23,2.1,258.8
923,기장,2014-03-24,2.4,270
923,기장,2014-03-25,2.4,267.2
923,기장,2014-03-26,1.3,87.2
923,기장,2014-03-27,1.3,177.2
923,기장,2014-03-28,1.9,236.3
923,기장,2014-03-29,1.9,239.1
923,기장,2014-03-30,1.9,357.2
923,기장,2014-03-31,1.2,199.7
923,기장,2014-04-01,1.4,188.4
923,기장,2014-04-02,1.3,171.6
923,기장,2014-04-03,2,67.5
923,기장,2014-04-04,2.2,11.3
923,기장,2014-04-05,2,180
923,기장,2014-04-06,1.9,351.6
923,기장,2014-04-07,1.8,236.3
923,기장,2014-04-08,1.4,295.3
923,기장,2014-04-09,1.6,216.6
923,기장,2014-04-10,3,64.7
923,기장,2014-04-11,1.6,64.7
923,기장,2014-04-12,1.5,50.6
923,기장,2014-04-13,2.4,28.1
923,기장,2014-04-14,1.9,28.1
923,기장,2014-04-15,2,278.4
923,기장,2014-04-16,1.5,165.9
923,기장,2014-04-17,1.6,47.8
923,기장,2014-04-18,2.6,56.3
923,기장,2014-04-19,3.4,64.7
923,기장,2014-04-20,2.5,56.3
923,기장,2014-04-21,1.6,182.8
923,기장,2014-04-22,1.7,90
923,기장,2014-04-23,1.5,182.8
923,기장,2014-04-24,1.7,205.3
923,기장,2014-04-25,1.3,171.6
923,기장,2014-04-26,1.3,216.6
923,기장,2014-04-27,1.5,182.8
923,기장,2014-04-28,3.1,315
923,기장,2014-04-29,1.5,84.4
923,기장,2014-04-30,1.4,165.9
923,기장,2014-05-01,1.5,208.1
923,기장,2014-05-02,2.1,239.1
923,기장,2014-05-03,1.7,309.4
923,기장,2014-05-04,2.2,250.3
923,기장,2014-05-05,2.1,315
923,기장,2014-05-06,2,233.4
923,기장,2014-05-07,2.4,244.7
923,기장,2014-05-08,2.4,216.6
923,기장,2014-05-09,1.5,208.1
923,기장,2014-05-10,2.6,61.9
923,기장,2014-05-11,2.1,56.3
923,기장,2014-05-12,2.1,258.8
923,기장,2014-05-13,1.9,284.1
923,기장,2014-05-14,1.1,188.4
923,기장,2014-05-15,1.4,258.8
923,기장,2014-05-16,1.9,244.7
923,기장,2014-05-17,1.1,185.6
923,기장,2014-05-18,1.6,92.8
923,기장,2014-05-19,1.2,182.8
923,기장,2014-05-20,1.3,36.6
923,기장,2014-05-21,1.6,36.6
923,기장,2014-05-22,1.7,81.6
923,기장,2014-05-23,1.1,317.8
923,기장,2014-05-24,1.9,118.1
923,기장,2014-05-25,2.6,239.1
923,기장,2014-05-26,1.9,219.4
923,기장,2014-05-27,2.1,292.5
923,기장,2014-05-28,2.1,47.8
923,기장,2014-05-29,1.2,210.9
923,기장,2014-05-30,1.3,188.4
923,기장,2014-05-31,1.1,326.3
923,기장,2014-06-01,1,227.8
923,기장,2014-06-02,1.4,19.7
923,기장,2014-06-03,2.1,42.2
923,기장,2014-06-04,3.4,2.8
923,기장,2014-06-05,2.4,42.2
923,기장,2014-06-06,2.3,59.1
923,기장,2014-06-07,2.5,92.8
923,기장,2014-06-08,1.6,67.5
923,기장,2014-06-09,2.1,84.4
923,기장,2014-06-10,2.4,98.4
923,기장,2014-06-11,2.4,78.8
923,기장,2014-06-12,1.6,87.2
923,기장,2014-06-13,1.4,191.3
923,기장,2014-06-14,1.5,255.9
923,기장,2014-06-15,1.5,205.3
923,기장,2014-06-16,1.3,196.9
923,기장,2014-06-17,1.1,50.6
923,기장,2014-06-18,2.5,73.1
923,기장,2014-06-19,1.7,188.4
923,기장,2014-06-20,2.4,30.9
923,기장,2014-06-21,2.9,84.4
923,기장,2014-06-22,2.2,36.6
923,기장,2014-06-23,1.5,199.7
923,기장,2014-06-24,1.4,171.6
923,기장,2014-06-25,1.5,185.6
923,기장,2014-06-26,1.7,208.1
923,기장,2014-06-27,1.1,67.5
923,기장,2014-06-28,1.4,225
923,기장,2014-06-29,1.5,202.5
923,기장,2014-06-30,1.1,210.9
923,기장,2014-07-01,1.4,213.8
923,기장,2014-07-02,.8,75.9
923,기장,2014-07-03,1.6,30.9
923,기장,2014-07-04,1.9,33.8
923,기장,2014-07-05,1.9,70.3
923,기장,2014-07-06,1.5,202.5
923,기장,2014-07-07,1.4,14.1
923,기장,2014-07-08,.9,323.4
923,기장,2014-07-09,2.1,30.9
923,기장,2014-07-10,2,25.3
923,기장,2014-07-11,1.7,289.7
923,기장,2014-07-12,1.4,292.5
923,기장,2014-07-13,1.4,194.1
923,기장,2014-07-14,1.6,157.5
923,기장,2014-07-15,1.2,199.7
923,기장,2014-07-16,1.1,180
923,기장,2014-07-17,1.2,222.2
923,기장,2014-07-18,1.3,258.8
923,기장,2014-07-19,1.4,61.9
923,기장,2014-07-20,1.5,87.2
923,기장,2014-07-21,1.5,182.8
923,기장,2014-07-22,2,250.3
923,기장,2014-07-23,1.9,225
923,기장,2014-07-24,1.8,236.3
923,기장,2014-07-25,2.8,225
923,기장,2014-07-26,3.2,241.9
923,기장,2014-07-27,1.7,61.9
923,기장,2014-07-28,1.5,115.3
923,기장,2014-07-29,1.5,185.6
923,기장,2014-07-30,.9,137.8
923,기장,2014-07-31,1.2,213.8
923,기장,2014-08-01,2.5,53.4
923,기장,2014-08-02,2.1,64.7
923,기장,2014-08-03,3.4,208.1
923,기장,2014-08-04,2.7,250.3
923,기장,2014-08-05,1.2,292.5
923,기장,2014-08-06,1.3,199.7
923,기장,2014-08-07,1.6,22.5
923,기장,2014-08-08,3.4,70.3
923,기장,2014-08-09,4.5,42.2
923,기장,2014-08-10,2.3,47.8
923,기장,2014-08-11,1.5,208.1
923,기장,2014-08-12,1.3,194.1
923,기장,2014-08-13,.9,33.8
923,기장,2014-08-14,2.7,16.9
923,기장,2014-08-15,1.8,47.8
923,기장,2014-08-16,1.9,11.3
923,기장,2014-08-17,2.3,53.4
923,기장,2014-08-18,1.7,2.8
923,기장,2014-08-19,1.3,194.1
923,기장,2014-08-20,1.2,199.7
923,기장,2014-08-21,2.7,239.1
923,기장,2014-08-22,1.4,208.1
923,기장,2014-08-23,1.4,191.3
923,기장,2014-08-24,1.1,264.4
923,기장,2014-08-25,1.2,25.3
923,기장,2014-08-26,1.4,92.8
923,기장,2014-08-27,2.4,67.5
923,기장,2014-08-28,2.3,45
923,기장,2014-08-29,2.6,59.1
923,기장,2014-08-30,2.6,306.6
923,기장,2014-08-31,2.4,78.8
923,기장,2014-09-01,2.7,45
923,기장,2014-09-02,2.4,84.4
923,기장,2014-09-03,2,244.7
923,기장,2014-09-04,1.4,270
923,기장,2014-09-05,1.4,188.4
923,기장,2014-09-06,1.2,216.6
923,기장,2014-09-07,2,61.9
