지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2017-06-11,2.4,120.9
923,기장,2017-06-12,2.6,75.9
923,기장,2017-06-13,1.6,95.6
923,기장,2017-06-14,1.9,115.3
923,기장,2017-06-15,1.8,28.1
923,기장,2017-06-16,2.4,95.6
923,기장,2017-06-17,1.7,75.9
923,기장,2017-06-18,1.3,188.4
923,기장,2017-06-19,1.6,239.1
923,기장,2017-06-20,1.3,53.4
923,기장,2017-06-21,1.7,14.1
923,기장,2017-06-22,1.4,171.6
923,기장,2017-06-23,1.2,213.8
923,기장,2017-06-24,1.2,109.7
923,기장,2017-06-25,1.3,90
923,기장,2017-06-26,1.6,87.2
923,기장,2017-06-27,1.5,334.7
923,기장,2017-06-28,1.2,208.1
923,기장,2017-06-29,1,213.8
923,기장,2017-06-30,1.4,261.6
923,기장,2017-07-01,1.8,264.4
923,기장,2017-07-02,2,222.2
923,기장,2017-07-03,2.6,281.3
923,기장,2017-07-04,1.3,73.1
923,기장,2017-07-05,1,101.3
923,기장,2017-07-06,1.2,225
923,기장,2017-07-07,1.5,295.3
923,기장,2017-07-08,1.4,270
923,기장,2017-07-09,1.5,227.8
923,기장,2017-07-10,3,284.1
923,기장,2017-07-11,2,261.6
923,기장,2017-07-12,1.7,272.8
923,기장,2017-07-13,1.4,199.7
923,기장,2017-07-14,1.4,241.9
923,기장,2017-07-15,1.7,261.6
923,기장,2017-07-16,1.9,261.6
923,기장,2017-07-17,1.5,292.5
923,기장,2017-07-18,1.5,317.8
923,기장,2017-07-19,1.5,202.5
923,기장,2017-07-20,1.4,180
923,기장,2017-07-21,1.3,135
923,기장,2017-07-22,1.5,101.3
923,기장,2017-07-23,.9,284.1
923,기장,2017-07-24,1.4,112.5
923,기장,2017-07-25,1.6,22.5
923,기장,2017-07-26,3,36.6
923,기장,2017-07-27,2.3,70.3
923,기장,2017-07-28,1.4,196.9
923,기장,2017-07-29,2.1,16.9
923,기장,2017-07-30,1.3,81.6
923,기장,2017-07-31,1.4,78.8
923,기장,2017-08-01,1.7,81.6
923,기장,2017-08-02,2.2,59.1
923,기장,2017-08-03,2.7,64.7
923,기장,2017-08-04,2.4,109.7
923,기장,2017-08-05,2.3,73.1
923,기장,2017-08-06,2.3,28.1
923,기장,2017-08-07,1.4,331.9
923,기장,2017-08-08,1.3,272.8
923,기장,2017-08-09,.8,225
923,기장,2017-08-10,1.3,19.7
923,기장,2017-08-11,2.1,70.3
923,기장,2017-08-12,2.6,84.4
923,기장,2017-08-13,2.6,53.4
923,기장,2017-08-14,2.3,157.5
923,기장,2017-08-15,1.5,50.6
923,기장,2017-08-16,1.2,78.8
923,기장,2017-08-17,1.8,101.3
923,기장,2017-08-18,.9,70.3
