date,ecoli,any_exceed,precipitation_mm,temperature_2m,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,month,중앙사업단_vol,중앙사업단_vol_1d_lag,중앙사업단_vol_3d_sum_lag,영도사업단_vol,영도사업단_vol_1d_lag,영도사업단_vol_3d_sum_lag
2015-06-16,250.0,0,1.3,20.829166666666666,0.3,1.299999999999993,4.0999999999999925,21.204166666666666,20.829166666666666,6,79744.0,82344.0,240535.0,,,
2015-07-02,10.0,0,0.0,21.4875,2.4000000000000004,42.099999999999994,42.29999999999999,21.900000000000002,21.4875,7,83252.0,84764.0,252687.0,,,
2015-07-16,20.0,0,0.0,21.525000000000002,0.0,5.1,82.6,23.8125,21.525000000000002,7,84295.0,85406.0,286831.0,,,
2015-07-28,20.0,0,0.8,27.287499999999998,0.2,0.2,12.6,26.712500000000002,27.287499999999998,7,82572.0,87144.0,265334.0,,,
2015-08-04,20.0,0,0.0,26.741666666666664,0.0,0.0,0.0,26.6125,26.741666666666664,8,86948.0,91658.0,264742.0,,,
2015-09-21,220.0,0,0.0,21.2625,0.0,2.0,37.9,20.445833333333333,21.2625,9,90005.0,91513.0,280092.0,,,
2016-05-12,1.0,0,0.0,16.245833333333334,0.0,21.2,21.2,14.75,16.245833333333334,5,88119.0,86497.0,257292.0,,,
2016-06-07,10.0,0,0.8,20.3,1.1,7.5,7.5,19.400000000000002,20.3,6,90965.0,90371.0,276395.0,,,
2016-06-27,52.0,0,0.8,21.191666666666666,0.0,11.200000000000001,55.2,22.354166666666668,21.191666666666666,6,77427.0,84347.0,281546.0,,,
2016-07-11,20.0,0,4.5,24.6875,0.0,2.7,5.2,24.983333333333334,24.6875,7,100118.0,87831.0,267969.0,,,
2016-07-19,20.0,0,0.0,24.175,0.0,6.000000000000001,7.300000000000001,24.462500000000002,24.175,7,88599.0,89388.0,263315.0,,,
2016-07-26,63.0,0,0.7,27.079166666666666,4.2,4.900000000000001,4.9,26.787499999999998,27.079166666666666,7,86336.0,86799.0,261493.0,,,
2016-08-09,230.0,0,0.1,27.808333333333334,1.0,1.0000000000000036,1.4,29.03333333333333,27.808333333333334,8,86147.0,86650.0,258059.0,,,
2016-08-17,250.0,0,0.0,27.72083333333333,32.5,36.300000000000004,36.9,27.145833333333332,27.72083333333333,8,88786.0,99846.0,280681.0,,,
2016-08-22,190.0,0,0.0,27.495833333333334,0.0,0.0,0.0,27.587500000000002,27.495833333333334,8,90448.0,91866.0,272884.0,,,
2016-09-07,160.0,0,0.1,25.308333333333334,0.0,18.7,207.7,24.900000000000002,25.308333333333334,9,91531.0,90705.0,279092.0,,,
2016-10-04,390.0,0,0.3,22.4875,0.0,8.5,55.5,24.075,22.4875,10,87991.0,89850.0,271714.0,,,
2017-05-30,74.0,0,0.0,23.454166666666666,0.0,0.0,0.0,22.954166666666666,23.454166666666666,5,80541.0,81551.0,241997.0,,,
2017-06-09,31.0,0,0.0,21.679166666666664,0.0,19.3,19.3,20.108333333333334,21.679166666666664,6,80358.0,78092.0,236971.0,,,
2017-06-22,20.0,0,0.0,22.758333333333336,4.7,10.7,10.7,21.52916666666667,22.758333333333336,6,81720.0,83360.0,245363.0,,,
2017-07-07,31.0,0,5.5,24.304166666666664,2.3000000000000003,18.3,31.099999999999998,24.104166666666668,24.304166666666664,7,87492.0,100425.0,279358.0,,,
2017-07-13,63.0,0,0.0,25.537499999999998,0.0,28.8,31.0,26.758333333333336,25.537499999999998,7,82920.0,88845.0,259988.0,,,
2017-07-19,1.0,0,0.1,27.150000000000002,7.7,9.3,10.5,26.2,27.150000000000002,7,85059.0,86998.0,253647.0,,,
2017-07-27,20.0,0,0.0,24.575,0.0,30.4,30.599999999999998,24.84583333333333,24.575,7,87488.0,86205.0,262070.0,,,
2017-08-02,242.0,0,0.0,25.712500000000002,0.0,3.6999999999999997,3.8,26.120833333333334,25.712500000000002,8,84252.0,86930.0,259725.0,,,
2017-08-11,161.0,0,2.0,26.120833333333334,4.5,42.9,47.5,26.945833333333336,26.120833333333334,8,86119.0,86715.0,265120.0,,,
2017-08-17,441.0,0,8.0,25.599999999999998,8.3,119.60000000000001,120.10000000000001,25.77916666666667,25.599999999999998,8,88067.0,85910.0,261815.0,,,
2017-08-23,96.0,0,5.4,27.587500000000002,14.4,29.799999999999997,33.0,26.25,27.587500000000002,8,86633.0,90573.0,266064.0,,,
2017-09-04,31.0,0,0.0,22.8125,0.0,0.1,0.1,21.891666666666666,22.8125,9,82226.0,80583.0,253625.0,,,
2017-09-20,20.0,0,0.0,22.375,0.0,6.7,7.0,22.125,22.375,9,75387.0,87497.0,260826.0,,,
2018-05-16,399.0,0,0.1,19.645833333333332,0.0,19.6,22.200000000000003,19.491666666666667,19.645833333333332,5,92338.0,92526.0,274731.0,,,
2018-06-04,31.0,0,0.0,21.445833333333336,0.0,0.0,0.2,21.34166666666667,21.445833333333336,6,92878.0,87261.0,267082.0,,,
2018-06-18,86.0,0,0.0,20.854166666666668,0.0,0.0,0.0,19.224999999999998,20.854166666666668,6,92957.0,90622.0,272547.0,,,
