date,examinLcDetail,distance_to_outfall,ecoli,any_exceed,precipitation_mm,temperature_2m,wind_speed_m_s,wind_direction_deg,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,wind_speed_1d_lag,wind_dir_1d_lag,month,중앙사업단_vol,중앙사업단_vol_1d_lag,중앙사업단_vol_3d_sum_lag,영도사업단_vol,영도사업단_vol_1d_lag,영도사업단_vol_3d_sum_lag,log_ecoli
2026-07-07,송도스포츠센터 앞,1.0,98.0,0,3.2,25.170833333333334,3.362271208333334,227.20833333333334,4.6,30.70000000000003,31.700000000000003,24.816666666666666,25.170833333333334,3.248845191666667,236.45833333333334,7,61844.0,62147.0,185115.0,0.0,0.0,0.0,4.59511985013459
2026-07-07,임해행정봉사실 앞,0.5,31.0,0,3.2,25.170833333333334,3.362271208333334,227.20833333333334,4.6,30.70000000000003,31.700000000000003,24.816666666666666,25.170833333333334,3.248845191666667,236.45833333333334,7,61844.0,62147.0,185115.0,0.0,0.0,0.0,3.4657359027997265
2026-07-07,임해행정봉사실 앞,0.5,20.0,0,3.2,25.170833333333334,3.362271208333334,227.20833333333334,4.6,30.70000000000003,31.700000000000003,24.816666666666666,25.170833333333334,3.248845191666667,236.45833333333334,7,61844.0,62147.0,185115.0,0.0,0.0,0.0,3.044522437723423
2026-07-07,송도비치관광호텔 앞,0.0,52.0,0,3.2,25.170833333333334,3.362271208333334,227.20833333333334,4.6,30.70000000000003,31.700000000000003,24.816666666666666,25.170833333333334,3.248845191666667,236.45833333333334,7,61844.0,62147.0,185115.0,0.0,0.0,0.0,3.970291913552122
2026-07-07,송도비치관광호텔 앞,0.0,10.0,0,3.2,25.170833333333334,3.362271208333334,227.20833333333334,4.6,30.70000000000003,31.700000000000003,24.816666666666666,25.170833333333334,3.248845191666667,236.45833333333334,7,61844.0,62147.0,185115.0,0.0,0.0,0.0,2.3978952727983707
2026-06-16,송도스포츠센터 앞,1.0,1.0,0,0.0,22.704166666666666,3.6354195750000002,53.791666666666664,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,2.9386597583333334,63.041666666666664,6,58117.0,58171.0,174877.0,0.0,0.0,0.0,0.6931471805599453
2026-06-16,송도스포츠센터 앞,1.0,10.0,0,0.0,22.704166666666666,3.6354195750000002,53.791666666666664,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,2.9386597583333334,63.041666666666664,6,58117.0,58171.0,174877.0,0.0,0.0,0.0,2.3978952727983707
2026-06-16,임해행정봉사실 앞,0.5,10.0,0,0.0,22.704166666666666,3.6354195750000002,53.791666666666664,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,2.9386597583333334,63.041666666666664,6,58117.0,58171.0,174877.0,0.0,0.0,0.0,2.3978952727983707
2026-06-16,임해행정봉사실 앞,0.5,10.0,0,0.0,22.704166666666666,3.6354195750000002,53.791666666666664,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,2.9386597583333334,63.041666666666664,6,58117.0,58171.0,174877.0,0.0,0.0,0.0,2.3978952727983707
2026-06-16,송도비치관광호텔 앞,0.0,1.0,0,0.0,22.704166666666666,3.6354195750000002,53.791666666666664,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,2.9386597583333334,63.041666666666664,6,58117.0,58171.0,174877.0,0.0,0.0,0.0,0.6931471805599453
2026-06-16,송도비치관광호텔 앞,0.0,10.0,0,0.0,22.704166666666666,3.6354195750000002,53.791666666666664,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,2.9386597583333334,63.041666666666664,6,58117.0,58171.0,174877.0,0.0,0.0,0.0,2.3978952727983707
