date,jungang_discharge_m3_day
2014-11-15,71065
2014-11-16,71580
2014-11-17,72139
2014-11-18,71958
2014-11-19,71606
2014-11-20,81475
2014-11-21,73801
2014-11-22,74245
2014-11-23,74381
2014-11-24,79992
2014-11-25,86710
2014-11-26,80444
2014-11-27,81730
2014-11-28,78628
2014-11-29,77343
2014-11-30,81325
2014-12-01,72977
2014-12-02,73828
2014-12-03,77714
2014-12-04,73992
2014-12-05,74710
2014-12-06,74140
2014-12-07,72150
2014-12-08,67152
2014-12-09,70894
2014-12-10,80296
2014-12-11,73665
2014-12-12,79587
2014-12-13,77243
2014-12-14,79476
2014-12-15,86793
2014-12-16,82503
2014-12-17,81273
2014-12-18,80082
2014-12-19,85457
2014-12-20,90714
2014-12-21,87299
2014-12-22,90862
2014-12-23,84167
2014-12-24,87292
2014-12-25,87878
2014-12-26,90937
2014-12-27,82974
2014-12-28,76890
2014-12-29,82746
2014-12-30,81136
2014-12-31,85345
2015-01-01,80407
2015-01-02,85231
2015-01-03,88722
2015-01-04,85805
2015-01-05,88042
2015-01-06,89225
2015-01-07,90036
2015-01-08,87149
2015-01-09,87738
2015-01-10,88608
2015-01-11,89030
2015-01-12,86207
2015-01-13,86888
2015-01-14,87230
2015-01-15,89453
2015-01-16,91375
2015-01-17,94733
2015-01-18,91760
2015-01-19,89180
2015-01-20,89489
2015-01-21,91610
2015-01-22,90798
2015-01-23,88043
2015-01-24,88052
2015-01-25,87867
2015-01-26,89967
2015-01-27,89185
2015-01-28,86897
2015-01-29,87922
2015-01-30,85365
2015-01-31,86203
2015-02-01,89714
2015-02-02,83351
2015-02-03,86556
2015-02-04,88511
2015-02-05,89094
2015-02-06,86645
2015-02-07,88083
2015-02-08,86737
2015-02-09,86518
2015-02-10,86401
2015-02-11,89380
2015-02-12,88828
2015-02-13,86212
2015-02-14,79094
2015-02-15,81030
2015-02-16,86747
2015-02-17,82950
2015-02-18,83978
2015-02-19,84250
2015-02-20,83428
2015-02-21,82206
2015-02-22,80994
2015-02-23,81988
2015-02-24,84481
2015-02-25,83078
2015-02-26,83947
2015-02-27,82209
2015-02-28,82625
2015-03-01,80578
2015-03-02,81399
2015-03-03,78702
2015-03-04,84287
2015-03-05,83303
2015-03-06,76246
2015-03-07,88372
2015-03-08,86190
2015-03-09,87060
2015-03-10,87724
2015-03-11,82114
2015-03-12,89125
2015-03-13,90197
2015-03-14,84418
2015-03-15,85394
2015-03-16,82370
2015-03-17,83364
2015-03-18,107134
2015-03-19,95974
2015-03-20,87220
2015-03-21,92450
2015-03-22,83876
2015-03-23,85977
2015-03-24,88005
2015-03-25,84313
2015-03-26,84989
2015-03-27,86544
2015-03-28,84690
2015-03-29,84112
2015-03-30,88075
2015-03-31,84201
2015-04-01,85212
2015-04-02,87158
2015-04-03,103044
2015-04-04,96053
2015-04-05,102658
2015-04-06,95845
2015-04-07,90486
2015-04-08,87409
2015-04-09,90704
2015-04-10,90841
2015-04-11,85685
2015-04-12,85208
2015-04-13,89945
2015-04-14,89554
2015-04-15,83827
2015-04-16,87987
2015-04-17,83882
2015-04-18,85148
2015-04-19,155081
2015-04-20,144685
2015-04-21,110674
2015-04-22,105175
2015-04-23,92083
2015-04-24,86649
2015-04-25,85188
2015-04-26,82460
2015-04-27,100686
2015-04-28,117616
2015-04-29,98271
2015-04-30,100392
2015-05-01,84523
2015-05-02,87852
2015-05-03,96797
2015-05-04,96624
2015-05-05,86188
2015-05-06,89811
2015-05-07,83571
2015-05-08,89759
2015-05-09,84460
2015-05-10,84156
2015-05-11,87624
2015-05-12,110305
2015-05-13,101060
2015-05-14,124347
2015-05-15,104332
2015-05-16,92933
2015-05-17,84596
2015-05-18,93160
2015-05-19,95899
2015-05-20,93587
2015-05-21,89998
2015-05-22,86202
2015-05-23,83271
2015-05-24,91156
2015-05-25,83902
2015-05-26,85825
2015-05-27,82838
2015-05-28,83412
2015-05-29,82568
2015-05-30,79674
2015-05-31,81122
2015-06-01,81304
2015-06-02,81957
2015-06-03,81648
2015-06-04,81623
2015-06-05,84128
2015-06-06,82740
2015-06-07,82746
2015-06-08,83448
2015-06-09,84925
2015-06-10,78167
2015-06-11,85392
2015-06-12,82383
2015-06-13,79261
2015-06-14,78930
2015-06-15,82344
2015-06-16,79744
2015-06-17,81094
2015-06-18,82534
2015-06-19,82050
2015-06-20,83651
2015-06-21,79335
2015-06-22,81056
2015-06-23,83693
2015-06-24,84482
2015-06-25,82348
2015-06-26,89100
2015-06-27,83328
2015-06-28,80396
2015-06-29,83159
2015-06-30,84764
2015-07-01,84764
2015-07-02,83252
2015-07-03,83583
2015-07-04,80649
2015-07-05,82313
2015-07-06,84104
2015-07-07,88864
2015-07-08,103527
2015-07-09,95538
2015-07-10,86117
2015-07-11,80738
2015-07-12,95040
2015-07-13,106965
2015-07-14,94460
2015-07-15,85406
2015-07-16,84295
2015-07-17,83741
2015-07-18,80606
2015-07-19,82890
2015-07-20,83907
2015-07-21,85035
2015-07-22,89325
2015-07-23,96068
2015-07-24,94835
2015-07-25,88264
2015-07-26,89926
2015-07-27,87144
2015-07-28,82572
2015-07-29,85920
2015-07-30,90308
2015-07-31,73594
2015-08-01,86304
2015-08-02,86780
2015-08-03,91658
2015-08-04,86948
2015-08-05,84206
2015-08-06,89877
2015-08-07,88646
2015-08-08,84185
2015-08-09,84108
2015-08-10,84646
2015-08-11,84646
2015-08-12,90400
2015-08-13,91514
2015-08-14,88027
2015-08-15,92158
2015-08-16,89068
2015-08-17,88211
2015-08-18,90105
2015-08-19,74718
2015-08-20,79690
2015-08-21,96548
2015-08-22,92864
2015-08-23,88069
2015-08-24,85980
2015-08-25,90914
2015-08-26,92523
2015-08-27,88827
2015-08-28,88866
2015-08-29,89549
2015-08-30,89746
2015-08-31,90865
2015-09-01,91467
2015-09-02,88816
2015-09-03,87375
2015-09-04,90431
2015-09-05,90921
2015-09-06,91163
2015-09-07,84620
2015-09-08,91078
2015-09-09,84802
2015-09-10,93995
2015-09-11,93841
2015-09-12,92152
2015-09-13,90033
2015-09-14,87221
2015-09-15,88728
2015-09-16,88332
2015-09-17,109284
2015-09-18,96018
2015-09-19,92561
2015-09-20,91513
2015-09-21,90005
2015-09-22,84408
2015-09-23,92915
2015-09-24,104084
2015-09-25,90664
2015-09-26,92763
2015-09-27,92240
2015-09-28,90209
2015-09-29,89193
2015-09-30,86600
2015-10-01,99873
2015-10-02,95046
2015-10-03,92132
2015-10-04,85337
2015-10-05,82150
2015-10-06,81331
2015-10-07,86980
2015-10-08,88524
2015-10-09,88187
2015-10-10,84716
2015-10-11,81770
2015-10-12,88550
2015-10-13,87008
2015-10-14,87645
2015-10-15,83590
2015-10-16,88093
2015-10-17,82224
2015-10-18,82918
2015-10-19,87236
2015-10-20,84296
2015-10-21,85231
2015-10-22,84647
2015-10-23,87300
2015-10-24,88386
2015-10-25,86515
2015-10-26,84080
2015-10-27,86280
2015-10-28,78530
2015-10-29,82361
2015-10-30,82235
2015-10-31,77648
2015-11-01,81980
2015-11-02,80645
2015-11-03,79324
2015-11-04,80566
2015-11-05,81320
2015-11-06,85731
2015-11-07,86501
2015-11-08,90436
2015-11-09,84109
2015-11-10,86541
2015-11-11,84164
2015-11-12,83844
2015-11-13,87362
2015-11-14,85751
2015-11-15,81970
2015-11-16,83622
2015-11-17,84954
2015-11-18,80987
2015-11-19,80629
2015-11-20,79953
2015-11-21,81290
2015-11-22,81568
2015-11-23,80393
2015-11-24,80781
2015-11-25,84464
2015-11-26,82010
2015-11-27,86035
2015-11-28,83329
2015-11-29,82900
2015-11-30,85379
2015-12-01,67205
2015-12-02,80043
2015-12-03,79044
2015-12-04,80018
2015-12-05,76008
2015-12-06,77419
2015-12-07,78679
2015-12-08,82438
2015-12-09,79754
2015-12-10,85343
2015-12-11,89180
2015-12-12,79288
2015-12-13,80758
2015-12-14,76877
2015-12-15,80740
2015-12-16,83549
2015-12-17,84317
2015-12-18,81153
2015-12-19,83366
2015-12-20,80045
2015-12-21,87104
2015-12-22,81650
2015-12-23,83594
2015-12-24,83654
2015-12-25,83122
2015-12-26,82567
2015-12-27,82508
2015-12-28,83794
2015-12-29,84336
2015-12-30,83086
2015-12-31,83628
2016-01-01,81234
2016-01-02,79877
2016-01-03,79187
2016-01-04,84815
2016-01-05,77576
2016-01-06,77656
2016-01-07,81516
2016-01-08,80210
2016-01-09,81978
2016-01-10,80445
2016-01-11,79171
2016-01-12,81152
2016-01-13,79646
2016-01-14,84239
2016-01-15,80309
2016-01-16,81739
2016-01-17,81589
2016-01-18,77662
2016-01-19,80108
2016-01-20,77891
2016-01-21,79804
2016-01-22,77528
2016-01-23,83173
2016-01-24,79415
2016-01-25,76653
2016-01-26,81707
2016-01-27,83383
2016-01-28,82251
2016-01-29,113561
2016-01-30,85506
2016-01-31,82627
2016-02-01,82714
2016-02-02,81962
2016-02-03,80231
2016-02-04,79789
2016-02-05,79337
2016-02-06,79997
2016-02-07,80817
2016-02-08,77385
2016-02-09,76971
2016-02-10,80852
2016-02-11,80100
2016-02-12,84491
2016-02-13,86212
2016-02-14,79881
2016-02-15,81689
2016-02-16,79968
2016-02-17,82114
2016-02-18,82236
2016-02-19,81060
2016-02-20,80683
2016-02-21,79041
2016-02-22,81645
2016-02-23,84415
2016-02-24,82574
2016-02-25,83140
2016-02-26,82376
2016-02-27,81079
2016-02-28,83162
2016-02-29,83308
2016-03-01,82087
2016-03-02,81407
2016-03-03,76907
2016-03-04,81569
2016-03-05,81907
2016-03-06,84371
2016-03-07,83680
2016-03-08,84492
2016-03-09,88764
2016-03-10,83269
2016-03-11,85038
2016-03-12,83663
2016-03-13,87880
2016-03-14,81730
2016-03-15,79690
2016-03-16,76840
2016-03-17,84068
2016-03-18,94065
2016-03-19,86105
2016-03-20,83937
2016-03-21,84248
2016-03-22,82934
2016-03-23,84906
2016-03-24,84888
2016-03-25,84531
2016-03-26,82457
2016-03-27,80411
2016-03-28,79022
2016-03-29,83313
2016-03-30,79705
2016-03-31,84662
2016-04-01,82580
2016-04-02,78477
2016-04-03,75773
2016-04-04,80536
2016-04-05,81885
2016-04-06,82915
2016-04-07,89687
2016-04-08,91946
2016-04-09,89430
2016-04-10,85673
2016-04-11,85446
2016-04-12,90796
2016-04-13,85070
2016-04-14,81868
2016-04-15,87748
2016-04-16,86588
2016-04-17,87438
2016-04-18,90412
2016-04-19,88086
2016-04-20,88086
2016-04-21,97533
2016-04-22,101392
2016-04-23,98561
2016-04-24,91840
2016-04-25,88992
2016-04-26,80550
2016-04-27,90905
2016-04-28,86184
2016-04-29,85395
2016-04-30,84942
2016-05-01,76313
2016-05-02,71649
2016-05-03,65982
2016-05-04,72486
2016-05-05,91025
2016-05-06,86080
2016-05-07,84469
2016-05-08,81608
2016-05-09,84402
2016-05-10,86393
2016-05-11,86497
2016-05-12,88119
2016-05-13,81374
2016-05-14,85204
2016-05-15,83606
2016-05-16,89354
2016-05-17,85961
2016-05-18,83056
2016-05-19,75594
2016-05-20,80552
2016-05-21,83699
2016-05-22,85336
2016-05-23,84480
2016-05-24,97999
2016-05-25,87371
2016-05-26,86362
2016-05-27,84005
2016-05-28,84853
2016-05-29,82421
2016-05-30,82724
2016-05-31,88919
2016-06-01,84523
2016-06-02,87769
2016-06-03,91335
2016-06-04,92637
2016-06-05,93387
2016-06-06,90371
2016-06-07,90965
2016-06-08,90614
2016-06-09,89829
2016-06-10,88405
2016-06-11,85313
2016-06-12,88858
2016-06-13,85866
2016-06-14,86293
2016-06-15,86242
2016-06-16,88695
