관측소명,관측소코드,관측일시,풍향,기압(hPa),습도(%),기온(℃),수온(℃),최대파고(m),풍속(m/s),위도,경도
거제도,22104,2019-06-22,,1006.7,80.0,20.1,20.4,2.8,9.5,34.7667000000,128.9000000000
거제도,22104,2019-06-23,,1008.4,78.0,20.1,20.6,2.3,8.0,34.7667000000,128.9000000000
거제도,22104,2019-06-24,,1013.6,76.0,20.7,21.2,1.9,3.9,34.7667000000,128.9000000000
거제도,22104,2019-06-25,,1015.3,84.0,21.1,21.5,1.1,4.4,34.7667000000,128.9000000000
거제도,22104,2019-06-26,,1009.3,94.0,21.5,21.5,2.3,6.0,34.7667000000,128.9000000000
거제도,22104,2019-06-27,,1001.2,96.0,21.5,21.1,2.9,5.2,34.7667000000,128.9000000000
거제도,22104,2019-06-28,,1003.1,93.0,21.4,21.4,1.3,3.0,34.7667000000,128.9000000000
거제도,22104,2019-06-29,,998.8,95.0,21.6,21.7,3.0,4.8,34.7667000000,128.9000000000
거제도,22104,2019-06-30,,1000.7,93.0,21.5,21.3,4.8,4.9,34.7667000000,128.9000000000
거제도,22104,2019-07-01,,1005.7,94.0,21.1,21.0,2.1,4.7,34.7667000000,128.9000000000
거제도,22104,2019-07-02,,1008.7,93.0,21.1,20.9,1.3,4.4,34.7667000000,128.9000000000
거제도,22104,2019-07-03,,1007.9,95.0,20.7,21.1,0.9,2.5,34.7667000000,128.9000000000
거제도,22104,2019-07-04,,1006.2,95.0,20.8,21.5,1.7,2.0,34.7667000000,128.9000000000
거제도,22104,2019-07-05,,1003.5,93.0,21.4,21.8,1.8,3.9,34.7667000000,128.9000000000
거제도,22104,2019-07-06,,1004.3,86.0,21.9,21.5,3.4,9.7,34.7667000000,128.9000000000
거제도,22104,2019-07-07,,1007.5,83.0,21.7,21.3,3.0,9.1,34.7667000000,128.9000000000
거제도,22104,2019-07-08,,1006.9,84.0,21.5,21.7,2.8,9.2,34.7667000000,128.9000000000
거제도,22104,2019-07-09,,1006.0,83.0,21.7,21.8,3.5,10.2,34.7667000000,128.9000000000
거제도,22104,2019-07-10,,1004.0,91.0,22.1,21.9,3.7,10.8,34.7667000000,128.9000000000
거제도,22104,2019-07-11,,1003.2,91.0,22.5,22.3,3.2,6.6,34.7667000000,128.9000000000
거제도,22104,2019-07-12,,1006.3,87.0,22.4,22.5,2.4,5.0,34.7667000000,128.9000000000
거제도,22104,2019-07-13,,1002.4,87.0,21.8,22.4,1.4,3.4,34.7667000000,128.9000000000
거제도,22104,2019-07-14,,1002.9,86.0,22.6,22.8,1.9,3.4,34.7667000000,128.9000000000
거제도,22104,2019-07-15,,1008.0,87.0,22.8,22.6,1.6,3.8,34.7667000000,128.9000000000
거제도,22104,2019-07-16,,1011.3,87.0,22.8,23.1,1.6,5.2,34.7667000000,128.9000000000
거제도,22104,2019-07-17,,1012.2,87.0,23.1,23.2,1.7,6.0,34.7667000000,128.9000000000
거제도,22104,2019-07-18,,1010.0,93.0,22.8,23.5,1.1,4.3,34.7667000000,128.9000000000
거제도,22104,2019-07-19,,1007.5,94.0,23.6,23.1,3.7,5.1,34.7667000000,128.9000000000
거제도,22104,2019-07-20,,1002.1,94.0,23.8,22.8,6.8,10.5,34.7667000000,128.9000000000
거제도,22104,2019-07-21,,1005.7,94.0,22.9,21.9,5.8,8.4,34.7667000000,128.9000000000
거제도,22104,2019-07-22,,1007.1,96.0,22.9,22.5,1.6,5.8,34.7667000000,128.9000000000
거제도,22104,2019-07-23,,1006.6,97.0,23.2,22.8,1.6,6.1,34.7667000000,128.9000000000
거제도,22104,2019-07-24,,1006.5,97.0,23.7,23.4,1.4,4.2,34.7667000000,128.9000000000
거제도,22104,2019-07-25,,1007.2,96.0,24.3,23.7,1.4,5.4,34.7667000000,128.9000000000
거제도,22104,2019-07-26,,1006.4,96.0,24.6,24.1,1.2,5.0,34.7667000000,128.9000000000
거제도,22104,2019-07-27,,1007.8,96.0,25.2,24.5,1.3,4.8,34.7667000000,128.9000000000
거제도,22104,2019-07-28,,1011.2,96.0,25.3,24.7,1.3,4.7,34.7667000000,128.9000000000
거제도,22104,2019-07-29,,1011.5,96.0,25.4,25.0,1.1,4.1,34.7667000000,128.9000000000
거제도,22104,2019-07-30,,1010.4,96.0,25.7,25.4,1.1,4.6,34.7667000000,128.9000000000
거제도,22104,2019-07-31,,1011.5,95.0,26.0,25.7,1.1,4.1,34.7667000000,128.9000000000
거제도,22104,2019-08-01,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-02,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-03,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-04,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-05,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-06,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-07,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-08,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-09,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-10,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-11,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-12,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-13,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-14,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-15,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-16,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-17,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-18,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-19,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-20,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-21,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-22,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-23,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-24,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-25,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-26,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-27,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-28,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-29,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-30,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-08-31,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2019-09-01,,1017.0,82.0,24.2,26.3,1.4,2.7,34.7667000000,128.9000000000
거제도,22104,2019-09-02,,1016.5,89.0,23.0,25.6,1.9,5.6,34.7667000000,128.9000000000
거제도,22104,2019-09-03,,1015.2,90.0,23.6,24.6,1.4,5.9,34.7667000000,128.9000000000
거제도,22104,2019-09-04,,1013.7,92.0,24.8,25.1,1.5,3.9,34.7667000000,128.9000000000
거제도,22104,2019-09-05,,1012.3,94.0,25.3,25.7,1.4,2.6,34.7667000000,128.9000000000
거제도,22104,2019-09-06,,1008.3,88.0,26.4,26.2,2.9,6.0,34.7667000000,128.9000000000
거제도,22104,2019-09-07,,1004.4,88.0,25.9,25.5,8.6,9.2,34.7667000000,128.9000000000
거제도,22104,2019-09-08,,1008.4,93.0,24.2,24.9,3.3,2.2,34.7667000000,128.9000000000
거제도,22104,2019-09-09,,1010.1,93.0,25.0,25.1,2.7,2.4,34.7667000000,128.9000000000
거제도,22104,2019-09-10,,1013.5,93.0,25.1,25.5,2.1,2.5,34.7667000000,128.9000000000
거제도,22104,2019-09-11,,1014.7,92.0,24.4,25.4,3.3,5.7,34.7667000000,128.9000000000
거제도,22104,2019-09-12,,1015.5,81.0,22.6,23.1,5.1,11.1,34.7667000000,128.9000000000
거제도,22104,2019-09-13,,1012.9,75.0,23.0,23.4,3.6,9.7,34.7667000000,128.9000000000
거제도,22104,2019-09-14,,1011.1,78.0,23.4,25.0,1.8,3.8,34.7667000000,128.9000000000
거제도,22104,2019-09-15,,1009.6,82.0,24.2,25.6,3.1,7.5,34.7667000000,128.9000000000
거제도,22104,2019-09-16,,1009.7,75.0,23.0,24.0,4.4,9.5,34.7667000000,128.9000000000
거제도,22104,2019-09-17,,1013.2,72.0,22.9,23.6,5.4,10.6,34.7667000000,128.9000000000
거제도,22104,2019-09-18,,1014.4,70.0,23.1,24.2,2.8,6.3,34.7667000000,128.9000000000
거제도,22104,2019-09-19,,1016.7,63.0,22.2,23.6,3.6,10.1,34.7667000000,128.9000000000
거제도,22104,2019-09-20,,1015.6,71.0,22.1,23.1,3.1,9.6,34.7667000000,128.9000000000
거제도,22104,2019-09-21,,1015.4,84.0,20.5,22.7,7.7,12.9,34.7667000000,128.9000000000
거제도,22104,2019-09-22,,1001.9,93.0,19.7,22.7,10.9,19.6,34.7667000000,128.9000000000
거제도,22104,2019-09-23,,1013.2,78.0,19.5,22.4,8.1,5.3,34.7667000000,128.9000000000
거제도,22104,2019-09-24,,1018.1,71.0,20.3,22.7,4.5,4.2,34.7667000000,128.9000000000
거제도,22104,2019-09-25,,1021.2,75.0,21.0,22.5,2.0,7.4,34.7667000000,128.9000000000
거제도,22104,2019-09-26,,1022.7,84.0,22.4,23.8,2.4,8.7,34.7667000000,128.9000000000
거제도,22104,2019-09-27,,1021.9,88.0,22.2,22.8,2.0,7.6,34.7667000000,128.9000000000
거제도,22104,2019-09-28,,1018.2,94.0,22.8,23.0,1.2,2.5,34.7667000000,128.9000000000
거제도,22104,2019-09-29,,1015.9,94.0,23.2,23.7,0.8,2.7,34.7667000000,128.9000000000
거제도,22104,2019-09-30,,1016.8,92.0,23.3,24.1,0.9,2.1,34.7667000000,128.9000000000
거제도,22104,2019-10-01,,1018.2,90.0,23.1,23.6,1.4,3.1,34.7667000000,128.9000000000
거제도,22104,2019-10-02,,1009.6,92.0,23.6,23.5,7.7,9.0,34.7667000000,128.9000000000
거제도,22104,2019-10-03,,1003.4,86.0,23.4,23.4,8.1,8.7,34.7667000000,128.9000000000
거제도,22104,2019-10-04,,1013.0,82.0,22.7,23.8,4.9,4.1,34.7667000000,128.9000000000
거제도,22104,2019-10-05,,1015.0,79.0,22.6,24.0,5.7,6.3,34.7667000000,128.9000000000
거제도,22104,2019-10-06,,1022.0,71.0,19.9,23.5,6.2,11.8,34.7667000000,128.9000000000
거제도,22104,2019-10-07,,1017.3,77.0,20.2,22.9,3.4,6.0,34.7667000000,128.9000000000
거제도,22104,2019-10-08,,1016.6,66.0,19.9,22.6,1.6,5.8,34.7667000000,128.9000000000
거제도,22104,2019-10-09,,1018.2,56.0,18.8,23.0,1.9,4.9,34.7667000000,128.9000000000
거제도,22104,2019-10-10,,1015.0,71.0,19.8,22.9,1.3,3.5,34.7667000000,128.9000000000
거제도,22104,2019-10-11,,1012.3,70.0,20.9,22.1,4.5,8.3,34.7667000000,128.9000000000
거제도,22104,2019-10-12,,1012.9,66.0,20.8,22.1,7.5,12.7,34.7667000000,128.9000000000
거제도,22104,2019-10-13,,1020.6,64.0,19.1,22.2,8.7,11.3,34.7667000000,128.9000000000
거제도,22104,2019-10-14,,1022.9,66.0,19.0,22.2,4.4,4.8,34.7667000000,128.9000000000
거제도,22104,2019-10-15,,1026.5,68.0,18.1,22.4,5.5,10.7,34.7667000000,128.9000000000
거제도,22104,2019-10-16,,1025.3,66.0,17.9,22.0,2.3,5.9,34.7667000000,128.9000000000
거제도,22104,2019-10-17,,1022.7,71.0,19.2,21.8,3.2,9.0,34.7667000000,128.9000000000
거제도,22104,2019-10-18,,1018.5,85.0,19.6,22.3,6.4,11.3,34.7667000000,128.9000000000
거제도,22104,2019-10-19,,1018.8,77.0,19.7,22.5,4.1,6.5,34.7667000000,128.9000000000
거제도,22104,2019-10-20,,1020.4,75.0,19.9,22.1,2.0,6.0,34.7667000000,128.9000000000
거제도,22104,2019-10-21,,1016.6,71.0,19.7,21.5,4.2,9.7,34.7667000000,128.9000000000
거제도,22104,2019-10-22,,1016.0,72.0,20.0,21.2,3.7,9.4,34.7667000000,128.9000000000
거제도,22104,2019-10-23,,1016.8,71.0,20.2,21.2,3.6,9.8,34.7667000000,128.9000000000
거제도,22104,2019-10-24,,1015.6,78.0,20.0,21.5,3.9,9.6,34.7667000000,128.9000000000
거제도,22104,2019-10-25,,1015.7,74.0,20.2,21.2,3.5,5.3,34.7667000000,128.9000000000
거제도,22104,2019-10-26,,1015.5,60.0,18.5,20.8,2.2,5.1,34.7667000000,128.9000000000
거제도,22104,2019-10-27,,1017.5,50.0,15.8,20.3,2.0,7.3,34.7667000000,128.9000000000
거제도,22104,2019-10-28,,1017.0,61.0,16.5,20.5,1.5,4.9,34.7667000000,128.9000000000
거제도,22104,2019-10-29,,1015.4,61.0,18.2,21.1,1.3,6.6,34.7667000000,128.9000000000
거제도,22104,2019-10-30,,1020.0,58.0,16.0,20.9,1.2,4.7,34.7667000000,128.9000000000
거제도,22104,2019-10-31,,1020.4,58.0,17.3,20.5,0.8,5.0,34.7667000000,128.9000000000
거제도,22104,2019-11-01,,1020.8,59.0,18.9,20.9,1.5,4.8,34.7667000000,128.9000000000
거제도,22104,2019-11-02,,1019.7,66.0,18.9,20.8,1.8,4.4,34.7667000000,128.9000000000
거제도,22104,2019-11-03,,1018.3,71.0,18.0,20.6,2.9,4.4,34.7667000000,128.9000000000
거제도,22104,2019-11-04,,1021.3,66.0,16.6,20.0,3.8,8.6,34.7667000000,128.9000000000
거제도,22104,2019-11-05,,1018.6,65.0,16.7,19.9,2.1,3.7,34.7667000000,128.9000000000
거제도,22104,2019-11-06,,1015.9,58.0,16.9,19.9,1.0,4.6,34.7667000000,128.9000000000
거제도,22104,2019-11-07,,1015.6,58.0,16.4,19.4,1.4,4.5,34.7667000000,128.9000000000
거제도,22104,2019-11-08,,1018.1,57.0,15.7,19.3,2.7,5.9,34.7667000000,128.9000000000
거제도,22104,2019-11-09,,1019.3,48.0,15.6,20.2,2.1,5.5,34.7667000000,128.9000000000
거제도,22104,2019-11-10,,1013.2,60.0,16.6,20.5,2.9,5.7,34.7667000000,128.9000000000
거제도,22104,2019-11-11,,1010.8,60.0,16.6,19.0,3.8,7.7,34.7667000000,128.9000000000
거제도,22104,2019-11-12,,1019.8,61.0,15.1,18.8,1.5,3.7,34.7667000000,128.9000000000
거제도,22104,2019-11-13,,1017.4,67.0,15.9,18.4,2.1,6.4,34.7667000000,128.9000000000
거제도,22104,2019-11-14,,1022.0,49.0,10.2,19.2,2.1,6.8,34.7667000000,128.9000000000
거제도,22104,2019-11-15,,1020.7,57.0,13.4,19.3,1.5,6.2,34.7667000000,128.9000000000
거제도,22104,2019-11-16,,1020.2,69.0,16.8,19.3,1.3,5.8,34.7667000000,128.9000000000
거제도,22104,2019-11-17,,1019.4,80.0,17.7,18.3,2.6,5.0,34.7667000000,128.9000000000
거제도,22104,2019-11-18,,1015.4,67.0,15.1,17.7,4.1,8.3,34.7667000000,128.9000000000
거제도,22104,2019-11-19,,1023.5,53.0,9.0,16.3,2.3,7.2,34.7667000000,128.9000000000
거제도,22104,2019-11-20,,1029.0,45.0,8.7,16.4,2.2,6.4,34.7667000000,128.9000000000
거제도,22104,2019-11-21,,1030.2,59.0,12.8,17.0,2.0,7.1,34.7667000000,128.9000000000
거제도,22104,2019-11-22,,1026.5,70.0,16.1,18.9,2.2,8.0,34.7667000000,128.9000000000
거제도,22104,2019-11-23,,1023.3,76.0,16.3,18.0,2.0,7.4,34.7667000000,128.9000000000
거제도,22104,2019-11-24,,1018.1,85.0,17.0,18.0,1.2,4.7,34.7667000000,128.9000000000
거제도,22104,2019-11-25,,1024.0,72.0,13.5,17.8,7.3,10.5,34.7667000000,128.9000000000
거제도,22104,2019-11-26,,1027.4,63.0,13.9,18.2,5.6,9.2,34.7667000000,128.9000000000
거제도,22104,2019-11-27,,1024.3,67.0,12.9,18.5,2.1,6.1,34.7667000000,128.9000000000
거제도,22104,2019-11-28,,1026.0,73.0,11.6,16.7,6.2,9.8,34.7667000000,128.9000000000
거제도,22104,2019-11-29,,1028.7,52.0,10.9,16.0,3.3,6.6,34.7667000000,128.9000000000
거제도,22104,2019-11-30,,1027.6,61.0,12.4,16.3,1.7,4.7,34.7667000000,128.9000000000
거제도,22104,2019-12-01,,1019.4,84.0,12.1,16.2,2.3,6.5,34.7667000000,128.9000000000
거제도,22104,2019-12-02,,1018.6,59.0,9.2,17.2,2.1,8.4,34.7667000000,128.9000000000
거제도,22104,2019-12-03,,1025.7,56.0,7.3,16.6,1.8,5.0,34.7667000000,128.9000000000
거제도,22104,2019-12-04,,1028.1,50.0,9.8,16.4,1.5,4.1,34.7667000000,128.9000000000
거제도,22104,2019-12-05,,1031.7,48.0,7.6,15.6,1.8,6.6,34.7667000000,128.9000000000
거제도,22104,2019-12-06,,1032.2,45.0,4.1,15.9,2.5,8.7,34.7667000000,128.9000000000
거제도,22104,2019-12-07,,1028.0,52.0,6.2,16.4,2.0,6.7,34.7667000000,128.9000000000
거제도,22104,2019-12-08,,1027.0,55.0,8.1,16.2,1.8,4.0,34.7667000000,128.9000000000
거제도,22104,2019-12-09,,1024.3,58.0,10.1,16.6,1.2,3.4,34.7667000000,128.9000000000
거제도,22104,2019-12-10,,1021.0,70.0,13.7,17.7,0.8,3.5,34.7667000000,128.9000000000
거제도,22104,2019-12-11,,1016.7,66.0,14.0,18.6,2.0,7.0,34.7667000000,128.9000000000
거제도,22104,2019-12-12,,1026.5,41.0,7.3,16.6,2.1,5.4,34.7667000000,128.9000000000
거제도,22104,2019-12-13,,1026.7,57.0,9.2,15.7,2.2,5.5,34.7667000000,128.9000000000
거제도,22104,2019-12-14,,1025.3,58.0,11.5,15.5,1.9,7.3,34.7667000000,128.9000000000
거제도,22104,2019-12-15,,1028.2,62.0,11.7,15.3,2.6,7.1,34.7667000000,128.9000000000
거제도,22104,2019-12-16,,1022.6,73.0,12.6,16.8,1.7,5.0,34.7667000000,128.9000000000
거제도,22104,2019-12-17,,1015.0,84.0,13.6,17.1,1.7,4.8,34.7667000000,128.9000000000
거제도,22104,2019-12-18,,1018.9,53.0,11.7,16.6,2.6,7.2,34.7667000000,128.9000000000
거제도,22104,2019-12-19,,1021.6,44.0,9.0,15.7,2.7,9.4,34.7667000000,128.9000000000
거제도,22104,2019-12-20,,1027.7,52.0,7.3,15.5,2.2,3.8,34.7667000000,128.9000000000
거제도,22104,2019-12-21,,1026.4,55.0,7.8,15.7,2.5,6.2,34.7667000000,128.9000000000
거제도,22104,2019-12-22,,1019.7,59.0,9.6,15.7,1.9,7.7,34.7667000000,128.9000000000
거제도,22104,2019-12-23,,1020.2,55.0,10.5,15.7,1.3,4.6,34.7667000000,128.9000000000
거제도,22104,2019-12-24,,1024.9,66.0,9.3,15.7,2.2,5.7,34.7667000000,128.9000000000
거제도,22104,2019-12-25,,1021.5,67.0,12.0,16.3,1.5,4.8,34.7667000000,128.9000000000
거제도,22104,2019-12-26,,1013.1,66.0,10.5,15.4,1.9,8.6,34.7667000000,128.9000000000
거제도,22104,2019-12-27,,1022.1,46.0,6.1,14.3,3.3,8.2,34.7667000000,128.9000000000
거제도,22104,2019-12-28,,1028.0,48.0,6.3,14.2,2.8,4.8,34.7667000000,128.9000000000
거제도,22104,2019-12-29,,1025.6,67.0,9.8,14.4,1.6,5.5,34.7667000000,128.9000000000
거제도,22104,2019-12-30,,1020.6,80.0,10.9,14.6,2.4,5.4,34.7667000000,128.9000000000
거제도,22104,2019-12-31,,1029.2,48.0,2.6,13.5,2.4,9.2,34.7667000000,128.9000000000
거제도,22104,2020-01-01,,1030.0,56.0,3.9,13.0,2.5,7.0,34.7667000000,128.9000000000
거제도,22104,2020-01-02,,1027.7,58.0,6.4,13.9,1.5,5.6,34.7667000000,128.9000000000
거제도,22104,2020-01-03,,1024.4,54.0,8.0,14.4,1.5,5.9,34.7667000000,128.9000000000
거제도,22104,2020-01-04,,1023.7,47.0,8.2,14.8,1.8,7.9,34.7667000000,128.9000000000
거제도,22104,2020-01-05,,1029.0,54.0,9.2,15.0,1.6,4.1,34.7667000000,128.9000000000
거제도,22104,2020-01-06,,1025.8,68.0,11.8,15.4,1.6,4.1,34.7667000000,128.9000000000
거제도,22104,2020-01-07,,1012.2,89.0,16.4,16.8,4.9,9.1,34.7667000000,128.9000000000
거제도,22104,2020-01-08,,1012.7,67.0,10.1,15.9,6.6,11.1,34.7667000000,128.9000000000
거제도,22104,2020-01-09,,1020.8,56.0,7.5,15.6,3.1,5.2,34.7667000000,128.9000000000
거제도,22104,2020-01-10,,1021.3,51.0,7.9,15.8,2.7,4.1,34.7667000000,128.9000000000
거제도,22104,2020-01-11,,1017.4,51.0,8.4,15.3,1.5,5.8,34.7667000000,128.9000000000
거제도,22104,2020-01-12,,1015.4,55.0,6.7,14.7,2.1,7.8,34.7667000000,128.9000000000
거제도,22104,2020-01-13,,1021.0,54.0,5.5,14.1,1.8,5.4,34.7667000000,128.9000000000
거제도,22104,2020-01-14,,1023.5,53.0,4.8,13.6,1.6,6.2,34.7667000000,128.9000000000
거제도,22104,2020-01-15,,1026.0,52.0,4.8,13.4,2.4,5.8,34.7667000000,128.9000000000
거제도,22104,2020-01-16,,1024.4,46.0,5.7,13.2,2.3,5.5,34.7667000000,128.9000000000
거제도,22104,2020-01-17,,1020.0,52.0,8.2,13.6,1.4,6.0,34.7667000000,128.9000000000
거제도,22104,2020-01-18,,1018.1,61.0,8.1,14.3,4.3,7.7,34.7667000000,128.9000000000
거제도,22104,2020-01-19,,1018.6,53.0,7.4,14.8,2.2,6.2,34.7667000000,128.9000000000
거제도,22104,2020-01-20,,1021.5,51.0,7.1,14.4,1.6,5.5,34.7667000000,128.9000000000
거제도,22104,2020-01-21,,1028.2,55.0,7.2,14.5,1.7,5.4,34.7667000000,128.9000000000
거제도,22104,2020-01-22,,1023.5,76.0,11.5,15.5,1.7,4.2,34.7667000000,128.9000000000
거제도,22104,2020-01-23,,1020.9,86.0,11.0,15.8,2.9,7.6,34.7667000000,128.9000000000
거제도,22104,2020-01-24,,1027.2,68.0,11.4,15.5,2.8,8.0,34.7667000000,128.9000000000
거제도,22104,2020-01-25,,1027.7,67.0,11.5,15.1,3.8,9.0,34.7667000000,128.9000000000
거제도,22104,2020-01-26,,1023.8,70.0,11.7,15.0,4.9,10.8,34.7667000000,128.9000000000
거제도,22104,2020-01-27,,1013.4,85.0,9.6,14.9,9.9,16.3,34.7667000000,128.9000000000
거제도,22104,2020-01-28,,1014.6,71.0,10.3,14.9,8.5,8.4,34.7667000000,128.9000000000
거제도,22104,2020-01-29,,1014.2,65.0,9.6,14.8,4.2,5.9,34.7667000000,128.9000000000
거제도,22104,2020-01-30,,1013.2,62.0,8.6,14.8,3.8,6.3,34.7667000000,128.9000000000
거제도,22104,2020-01-31,,1018.5,58.0,8.0,14.9,3.6,4.2,34.7667000000,128.9000000000
거제도,22104,2020-02-01,,1023.1,55.0,8.1,14.7,3.2,5.7,34.7667000000,128.9000000000
거제도,22104,2020-02-02,,1024.0,62.0,8.4,14.4,2.3,3.7,34.7667000000,128.9000000000
거제도,22104,2020-02-03,,1024.2,53.0,7.6,14.1,1.6,4.0,34.7667000000,128.9000000000
거제도,22104,2020-02-04,,1024.5,53.0,6.7,13.7,1.8,7.0,34.7667000000,128.9000000000
거제도,22104,2020-02-05,,1026.5,44.0,4.0,12.9,2.2,7.5,34.7667000000,128.9000000000
거제도,22104,2020-02-06,,1030.7,54.0,3.1,12.7,2.8,7.2,34.7667000000,128.9000000000
거제도,22104,2020-02-07,,1026.4,54.0,7.2,13.2,2.5,4.3,34.7667000000,128.9000000000
거제도,22104,2020-02-08,,1024.1,51.0,6.0,13.1,2.2,8.1,34.7667000000,128.9000000000
거제도,22104,2020-02-09,,1023.9,51.0,5.5,13.3,2.7,6.0,34.7667000000,128.9000000000
거제도,22104,2020-02-10,,1023.6,59.0,8.4,13.2,1.7,4.5,34.7667000000,128.9000000000
거제도,22104,2020-02-11,,1027.8,60.0,11.4,13.7,1.4,4.3,34.7667000000,128.9000000000
거제도,22104,2020-02-12,,1017.1,83.0,12.7,14.0,5.5,8.2,34.7667000000,128.9000000000
거제도,22104,2020-02-13,,1017.9,80.0,11.5,13.6,3.5,6.6,34.7667000000,128.9000000000
거제도,22104,2020-02-14,,1019.7,78.0,12.2,14.2,1.5,3.4,34.7667000000,128.9000000000
거제도,22104,2020-02-15,,1018.6,77.0,13.6,14.3,2.1,7.1,34.7667000000,128.9000000000
거제도,22104,2020-02-16,,1010.1,73.0,8.2,13.7,3.1,8.2,34.7667000000,128.9000000000
거제도,22104,2020-02-17,,1015.8,59.0,2.4,12.6,3.9,11.1,34.7667000000,128.9000000000
거제도,22104,2020-02-18,,1024.8,51.0,3.1,12.3,3.8,5.9,34.7667000000,128.9000000000
거제도,22104,2020-02-19,,1028.4,48.0,7.4,12.9,5.0,4.1,34.7667000000,128.9000000000
거제도,22104,2020-02-20,,1032.3,54.0,10.2,14.0,2.3,3.9,34.7667000000,128.9000000000
거제도,22104,2020-02-21,,1030.6,66.0,12.0,14.5,1.2,3.2,34.7667000000,128.9000000000
거제도,22104,2020-02-22,,1023.7,53.0,10.9,14.2,2.7,8.2,34.7667000000,128.9000000000
거제도,22104,2020-02-23,,1028.3,56.0,7.3,13.7,1.7,5.6,34.7667000000,128.9000000000
거제도,22104,2020-02-24,,1024.6,64.0,11.5,14.8,1.3,4.8,34.7667000000,128.9000000000
거제도,22104,2020-02-25,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2020-02-26,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2020-02-27,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2020-02-28,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2020-02-29,,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2020-03-01,,1017.6,71.0,11.9,14.6,1.5,5.4,34.7667000000,128.9000000000
거제도,22104,2020-03-02,,1021.2,55.0,9.5,14.3,2.0,5.7,34.7667000000,128.9000000000
거제도,22104,2020-03-03,,1023.7,66.0,10.7,14.4,3.1,7.2,34.7667000000,128.9000000000
거제도,22104,2020-03-04,,1019.8,55.0,9.0,14.4,2.5,6.6,34.7667000000,128.9000000000
거제도,22104,2020-03-05,,1023.4,50.0,6.0,13.8,2.1,6.8,34.7667000000,128.9000000000
거제도,22104,2020-03-06,,1021.8,56.0,9.1,14.2,2.9,4.5,34.7667000000,128.9000000000
거제도,22104,2020-03-07,,1017.4,69.0,10.6,14.1,2.1,4.3,34.7667000000,128.9000000000
거제도,22104,2020-03-08,,1018.1,70.0,11.1,14.2,2.6,7.6,34.7667000000,128.9000000000
거제도,22104,2020-03-09,,1013.2,79.0,12.8,14.6,1.8,6.6,34.7667000000,128.9000000000
거제도,22104,2020-03-10,,1004.4,79.0,11.3,14.2,3.3,8.7,34.7667000000,128.9000000000
거제도,22104,2020-03-11,,1016.3,45.0,8.7,13.4,2.1,7.1,34.7667000000,128.9000000000
거제도,22104,2020-03-12,,1022.3,55.0,9.7,13.4,2.3,5.8,34.7667000000,128.9000000000
거제도,22104,2020-03-13,,1018.8,58.0,11.9,13.5,1.3,4.7,34.7667000000,128.9000000000
