date,temperature_2m_mean
2014-01-01,6.820833333333333
2014-01-02,6.520833333333333
2014-01-03,6.633333333333333
2014-01-04,6.454166666666667
2014-01-05,5.416666666666667
2014-01-06,4.479166666666667
2014-01-07,5.033333333333333
2014-01-08,4.545833333333333
2014-01-09,-1.0333333333333334
2014-01-10,-0.2625
2014-01-11,2.1416666666666666
2014-01-12,3.4250000000000003
2014-01-13,0.45416666666666666
2014-01-14,1.2333333333333332
2014-01-15,1.5583333333333333
2014-01-16,2.5708333333333333
2014-01-17,3.875
2014-01-18,2.904166666666667
2014-01-19,1.8
2014-01-20,5.666666666666667
2014-01-21,0.5875
2014-01-22,1.0875000000000001
2014-01-23,2.920833333333333
2014-01-24,8.058333333333334
2014-01-25,11.679166666666667
2014-01-26,4.2250000000000005
2014-01-27,6.2625
2014-01-28,8.295833333333333
2014-01-29,7.191666666666666
2014-01-30,10.679166666666667
2014-01-31,7.154166666666666
2014-02-01,11.5625
2014-02-02,13.370833333333332
2014-02-03,8.179166666666667
2014-02-04,-1.7208333333333332
2014-02-05,0.17499999999999996
2014-02-06,3.4916666666666667
2014-02-07,6.029166666666666
2014-02-08,5.608333333333333
2014-02-09,4.158333333333333
2014-02-10,2.6083333333333334
2014-02-11,2.3625000000000003
2014-02-12,3.720833333333333
2014-02-13,4.479166666666667
2014-02-14,4.283333333333333
2014-02-15,4.783333333333333
2014-02-16,5.341666666666666
2014-02-17,6.654166666666666
2014-02-18,3.975
2014-02-19,3.8375
2014-02-20,5.429166666666667
2014-02-21,4.891666666666667
2014-02-22,5.379166666666666
2014-02-23,6.8875
2014-02-24,7.883333333333333
2014-02-25,8.625
2014-02-26,8.987499999999999
2014-02-27,11.2125
2014-02-28,9.779166666666667
2014-03-01,9.6875
2014-03-02,8.533333333333333
2014-03-03,6.533333333333334
2014-03-04,7.679166666666667
2014-03-05,6.208333333333333
2014-03-06,3.4458333333333333
2014-03-07,3.2083333333333335
2014-03-08,4.270833333333333
2014-03-09,5.875
2014-03-10,4.308333333333334
2014-03-11,6.704166666666667
2014-03-12,11.404166666666667
2014-03-13,6.670833333333333
2014-03-14,5.179166666666666
2014-03-15,7.545833333333333
2014-03-16,11.591666666666667
2014-03-17,12.7875
2014-03-18,14.308333333333332
2014-03-19,9.779166666666667
2014-03-20,8.875
2014-03-21,7.2625
2014-03-22,8.445833333333333
2014-03-23,11.154166666666667
2014-03-24,10.995833333333332
2014-03-25,13.854166666666666
2014-03-26,14.154166666666667
2014-03-27,12.158333333333333
2014-03-28,14.1
2014-03-29,14.4375
2014-03-30,13.6
2014-03-31,12.3375
2014-04-01,12.7125
2014-04-02,14.1
2014-04-03,13.783333333333333
2014-04-04,9.354166666666666
2014-04-05,8.479166666666666
2014-04-06,8.879166666666666
2014-04-07,11.766666666666666
2014-04-08,12.862499999999999
2014-04-09,13.383333333333333
2014-04-10,12.512500000000001
2014-04-11,12.791666666666666
2014-04-12,13.683333333333332
2014-04-13,12.758333333333333
2014-04-14,13.0625
2014-04-15,15.6875
2014-04-16,16.508333333333333
2014-04-17,14.445833333333333
2014-04-18,13.741666666666667
2014-04-19,11.883333333333333
