date,examinLcDetail,ecoli_max,enterococcus_max
2021-06-08,B,266.0,32.0
2021-06-08,C,452.0,157.0
2021-07-15,A,134.0,1.0
2021-07-15,B,52.0,16.0
2021-07-15,C,63.0,21.0
2021-07-22,A,20.0,10.0
2021-07-22,B,20.0,5.0
2021-07-22,C,30.0,1.0
2021-07-29,A,20.0,1.0
2021-07-29,B,10.0,10.0
2021-07-29,C,96.0,1.0
2021-08-03,A,52.0,1.0
2021-08-03,B,31.0,1.0
2021-08-03,C,168.0,21.0
2021-08-10,A,160.0,1.0
2021-08-10,B,265.0,5.0
2021-08-10,C,197.0,1.0
2021-08-31,A,292.0,1.0
2021-08-31,B,309.0,10.0
2021-08-31,C,327.0,26.0
2021-09-29,C,86.0,5.0
2022-06-29,A,400.0,155.0
2022-06-29,B,384.0,78.0
2022-06-29,C,422.0,43.0
2022-07-07,A,31.0,5.0
2022-07-07,B,41.0,1.0
2022-07-07,C,10.0,5.0
2022-07-20,A,121.0,1.0
2022-07-20,B,1.0,1.0
2022-07-20,C,1.0,1.0
2022-07-26,A,97.0,21.0
2022-07-26,B,460.0,5.0
2022-07-26,C,256.0,10.0
2022-08-03,A,323.0,5.0
2022-08-03,B,63.0,1.0
2022-08-03,C,160.0,5.0
2022-08-09,A,109.0,1.0
2022-08-09,B,75.0,1.0
2022-08-09,C,97.0,10.0
2022-08-16,A,326.0,112.0
2022-08-16,B,156.0,49.0
2022-08-16,C,226.0,26.0
2022-08-30,A,20.0,5.0
2022-08-30,B,75.0,1.0
2022-08-30,C,209.0,5.0
2022-09-26,A,41.0,10.0
2022-09-26,B,72.0,15.0
2022-09-26,C,84.0,31.0
2023-06-07,A,31.0,1.0
2023-06-07,B,1.0,1.0
2023-06-07,C,1.0,1.0
2023-07-04,A,70.0,52.0
2023-07-04,B,39.0,10.0
2023-07-04,C,28.0,31.0
2023-07-19,A,923.0,293.0
2023-07-19,B,1245.0,308.0
2023-07-19,C,1682.0,590.0
2023-07-27,A,189.0,15.0
2023-07-27,B,162.0,15.0
2023-07-27,C,208.0,26.0
2023-08-01,A,52.0,10.0
2023-08-01,B,57.0,35.0
2023-08-01,C,140.0,15.0
2023-08-08,A,918.0,3.0
2023-08-08,B,479.0,5.0
2023-08-08,C,257.0,5.0
2023-08-23,A,14833.0,18.0
2023-08-23,B,16430.0,7.0
2023-08-23,C,16430.0,10.0
2023-08-28,A,57.0,5.0
2023-08-28,B,97.0,7.0
2023-08-28,C,104.0,15.0
2024-06-03,A,5.0,1.0
2024-06-03,B,1.0,1.0
2024-06-03,C,1.0,1.0
2024-07-15,A,10.0,364.0
2024-07-15,B,15.0,443.0
2024-07-15,C,32.0,644.0
2024-07-29,A,26.0,495.0
2024-07-29,B,26.0,908.0
2024-07-29,C,21.0,703.0
2024-08-05,A,1.0,1.0
2024-08-05,B,1.0,1.0
2024-08-05,C,1.0,1.0
2024-08-19,A,21.0,1.0
2024-08-19,B,1.0,10.0
2024-08-19,C,1.0,10.0
2024-09-02,A,1.0,1.0
2024-09-02,B,1.0,10.0
2024-09-02,C,1.0,1.0
2025-06-13,A-1,228.0,16.0
2025-06-13,A-2,173.0,1.0
2025-06-13,B-1,173.0,26.0
2025-06-13,B-2,121.0,5.0
2025-06-13,C-1,73.0,16.0
2025-06-13,C-2,146.0,1.0
2025-07-03,A-1,20.0,1.0
2025-07-03,A-2,20.0,5.0
2025-07-03,B-1,20.0,1.0
2025-07-03,B-2,1.0,1.0
2025-07-03,C-1,63.0,1.0
2025-07-03,C-2,20.0,1.0
2025-07-16,A-1,173.0,16.0
2025-07-16,A-2,86.0,10.0
2025-07-16,B-1,20.0,21.0
2025-07-16,B-2,512.0,42.0
2025-07-16,C-1,393.0,21.0
2025-07-16,C-2,98.0,10.0
2025-07-30,A-1,10.0,5.0
2025-07-30,B-1,98.0,5.0
2025-07-30,C-1,41.0,10.0
2025-08-13,A-1,331.0,32.0
2025-08-13,A-2,275.0,32.0
2025-08-13,B-1,495.0,32.0
2025-08-13,B-2,373.0,38.0
2025-08-13,C-1,135.0,32.0
2025-08-13,C-2,158.0,37.0
2025-08-26,A-1,203.0,5.0
2025-08-26,A-2,121.0,5.0
2025-08-26,B-1,246.0,10.0
2025-08-26,B-2,262.0,26.0
2025-08-26,C-1,41.0,1.0
2025-08-26,C-2,299.0,5.0
2025-09-16,A-1,173.0,26.0
2025-09-16,B-1,121.0,38.0
2025-09-16,C-1,131.0,42.0
2026-06-16,A-1,1.0,1.0
2026-06-16,A-2,10.0,1.0
2026-06-16,B-1,10.0,1.0
2026-06-16,B-2,10.0,1.0
2026-06-16,C-1,1.0,1.0
2026-06-16,C-2,10.0,1.0
2026-07-07,A-1,63.0,5.0
2026-07-07,A-2,98.0,1.0
2026-07-07,B-1,31.0,1.0
2026-07-07,B-2,20.0,10.0
2026-07-07,C-1,52.0,5.0
2026-07-07,C-2,10.0,10.0
2026-07-22,A-1,10.0,1.0
2026-07-22,A-2,1.0,5.0
2026-07-22,B-1,20.0,10.0
2026-07-22,B-2,1.0,1.0
2026-07-22,C-1,20.0,1.0
2026-07-22,C-2,1.0,1.0
2026-08-05,A-1,1.0,5.0
2026-08-05,A-2,1.0,1.0
2026-08-05,B-1,1.0,1.0
2026-08-05,B-2,1.0,1.0
2026-08-05,C-1,10.0,5.0
2026-08-05,C-2,1.0,1.0
2026-08-19,A-1,169.0,5.0
2026-08-19,A-2,134.0,5.0
2026-08-19,B-1,97.0,5.0
2026-08-19,B-2,107.0,1.0
2026-08-19,C-1,145.0,10.0
2026-08-19,C-2,109.0,1.0
