inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20170609,개장기 1차,송도2,5,20,적합,2017-06-09
20170609,개장기 1차,송도3,10,31,적합,2017-06-09
20170622,개장기 2차,송도1,0,0,적합,2017-06-22
20170622,개장기 2차,송도2,0,20,적합,2017-06-22
20170622,개장기 2차,송도3,0,0,적합,2017-06-22
20170707,개장기 3차,송도1,0,20,적합,2017-07-07
20170707,개장기 3차,송도2,10,20,적합,2017-07-07
20170707,개장기 3차,송도3,10,31,적합,2017-07-07
20170713,개장기 3차,송도1,5,63,적합,2017-07-13
20170713,개장기 4차,송도1,5,63,적합,2017-07-13
20170713,개장기 3차,송도2,0,31,적합,2017-07-13
20170713,개장기 4차,송도2,0,31,적합,2017-07-13
20170713,개장기 3차,송도3,10,41,적합,2017-07-13
20170713,개장기 4차,송도3,10,41,적합,2017-07-13
20170719,개장기 5차,송도1,0,0,적합,2017-07-19
20170719,개장기 5차,송도2,5,0,적합,2017-07-19
20170719,개장기 5차,송도3,15,0,적합,2017-07-19
20170727,개장기 6차,송도1,0,20,적합,2017-07-27
20170727,개장기 6차,송도2,0,0,적합,2017-07-27
20170727,개장기 6차,송도3,5,0,적합,2017-07-27
20170802,개장기 7차,송도1,26,179,적합,2017-08-02
20170802,개장기 7차,송도2,31,242,적합,2017-08-02
20170802,개장기 7차,송도3,10,169,적합,2017-08-02
20170811,개장기 8차,송도1,21,97,적합,2017-08-11
20170811,개장기 8차,송도2,10,85,적합,2017-08-11
20170811,개장기 8차,송도3,21,161,적합,2017-08-11
20170817,개장기 9차,송도1,15,131,적합,2017-08-17
20170817,개장기 9차,송도2,21,181,적합,2017-08-17
20170817,개장기 9차,송도3,86,441,적합,2017-08-17
20170823,개장기 10차,송도1,0,63,적합,2017-08-23
20170823,개장기 10차,송도2,5,96,적합,2017-08-23
20170823,개장기 10차,송도3,5,96,적합,2017-08-23
20170904,개장기 11차,송도1,0,10,적합,2017-09-04
20170904,개장기 11차,송도2,10,10,적합,2017-09-04
20170904,개장기 11차,송도3,5,31,적합,2017-09-04
20180516,개장전,송도1,43,399,적합,2018-05-16
20180516,개장전,송도2,21,74,적합,2018-05-16
20180516,개장전,송도3,5,31,적합,2018-05-16
20180604,1차,송도1,10,31,적합,2018-06-04
20180604,1차,송도2,15,20,적합,2018-06-04
20180604,1차,송도3,5,30,적합,2018-06-04
20180618,2차,송도1,5,86,적합,2018-06-18
20180618,2차,송도2,5,63,적합,2018-06-18
20180618,2차,송도3,0,62,적합,2018-06-18
20180712,3차,송도1,88,512,적합,2018-07-12
20180712,3차,송도2,60,399,적합,2018-07-12
20180712,3차,송도3,81,108,적합,2018-07-12
20180719,4차,송도1,0,10,적합,2018-07-19
20180719,4차,송도2,0,0,적합,2018-07-19
20180719,4차,송도3,0,0,적합,2018-07-19
20180726,5차,송도1,0,122,적합,2018-07-26
20180726,5차,송도2,0,52,적합,2018-07-26
20180726,5차,송도3,0,10,적합,2018-07-26
20180802,6차,송도1,26,892,적합,2018-08-02
20180802,6차,송도2,32,773,적합,2018-08-02
20180802,6차,송도3,32,414,적합,2018-08-02
20180809,7차,송도1,5,411,적합,2018-08-09
20180809,7차,송도2,31,633,적합,2018-08-09
20180809,7차,송도3,37,379,적합,2018-08-09
20180822,8차,송도1,49,272,적합,2018-08-22
20180822,8차,송도2,48,189,적합,2018-08-22
20180822,8차,송도3,74,187,적합,2018-08-22
20180912,폐장후,송도1,10,235,적합,2018-09-12
20180912,폐장후,송도2,10,315,적합,2018-09-12
20180912,폐장후,송도3,5,223,적합,2018-09-12
20190514,개장전,송도1,58,0,적합,2019-05-14
20190514,개장전 5월 14일,송도1,58,0,적합,2019-05-14
20190514,개장전,송도2,52,20,적합,2019-05-14
20190514,개장전 5월 14일,송도2,52,20,적합,2019-05-14
20190514,개장전,송도3,55,30,적합,2019-05-14
20190514,개장전 5월 14일,송도3,55,30,적합,2019-05-14
20190604,개장중 6월 4일,송도1,5,0,적합,2019-06-04
20190604,개장중6월4일,송도1,5,0,적합,2019-06-04
20190604,개장중 6월 4일,송도2,0,0,적합,2019-06-04
20190604,개장중6월4일,송도2,0,0,적합,2019-06-04
20190604,개장중 6월 4일,송도3,0,0,적합,2019-06-04
20190604,개장중6월4일,송도3,0,0,적합,2019-06-04
20190618,개장중 6월 18일,송도1,20,0,적합,2019-06-18
20190618,개장중6월18일,송도1,20,0,적합,2019-06-18
20190618,개장중 6월 18일,송도2,0,10,적합,2019-06-18
20190618,개장중6월18일,송도2,0,10,적합,2019-06-18
20190618,개장중 6월 18일,송도3,10,0,적합,2019-06-18
20190618,개장중6월18일,송도3,10,0,적합,2019-06-18
20190704,개장중 7월 4일,송도1,32,10,적합,2019-07-04
20190704,개장중 7월 4일,송도2,21,0,적합,2019-07-04
20190704,개장중 7월 4일,송도3,32,30,적합,2019-07-04
20190716,개장중 7월 16일,송도1,0,0,적합,2019-07-16
20190716,개장중 7월 16일,송도2,0,0,적합,2019-07-16
20190716,개장중 7월 16일,송도3,5,0,적합,2019-07-16
20190730,개장중 7월 30일,송도1,339,41,부적합,2019-07-30
20190730,개장중 7월 30일,송도2,861,41,부적합,2019-07-30
20190730,개장중 7월 30일,송도3,"1,538",52,부적합,2019-07-30
20190801,개장중 8월 1일,송도1,32,0,적합,2019-08-01
20190801,개장중 8월 1일,송도2,21,0,적합,2019-08-01
20190801,개장중 8월 1일,송도3,15,10,적합,2019-08-01
20190813,개장중 8월 13일,송도1,0,0,적합,2019-08-13
20190813,개장중 8월 13일,송도2,0,0,적합,2019-08-13
20190813,개장중 8월 13일,송도3,0,0,적합,2019-08-13
20190820,개장중 8월 20일,송도1,0,52,적합,2019-08-20
20190820,개장중 8월 20일,송도2,0,41,적합,2019-08-20
20190820,개장중 8월 20일,송도3,0,20,적합,2019-08-20
20200617,개장전 6월 17일,송도1,68,52,적합,2020-06-17
20200617,개장전 6월 17일,송도2,21,10,적합,2020-06-17
20200617,개장전 6월 17일,송도3,125,161,적합,2020-06-17
20200709,개장중 7월 9일,송도1,5,0,적합,2020-07-09
20200709,개장중 7월 9일,송도2,0,0,적합,2020-07-09
20200709,개장중 7월 9일,송도3,0,0,적합,2020-07-09
20200717,개장중 7월17일,송도1,5,10,적합,2020-07-17
20200717,개장중 7월17일,송도2,0,10,적합,2020-07-17
20200717,개장중 7월17일,송도3,0,0,적합,2020-07-17
20200721,개장중 7월 21일,송도1,5,0,적합,2020-07-21
20200721,개장중 7월 21일,송도2,16,10,적합,2020-07-21
20200721,개장중 7월 21일,송도3,5,0,적합,2020-07-21
20200804,개장중 8월 14일,송도1,5,120,적합,2020-08-04
