date,감천항_정점명,감천항_정점코드,감천항_유속(cm/s),감천항_유향(deg),감천항_수온(℃),감천항_염분(PSU),감천항_유의파고(m),감천항_유의파주기(sec),감천항_최대파고(m),감천항_최대파주기(sec),감천항_풍속(m/s),감천항_풍향(deg),감천항_기온(℃),감천항_기압(hPa),감천항_시정(m),부산항_정점명,부산항_정점코드,부산항_유속(cm/s),부산항_유향(deg),부산항_수온(℃),부산항_염분(PSU),부산항_유의파고(m),부산항_유의파주기(sec),부산항_최대파고(m),부산항_최대파주기(sec),부산항_풍속(m/s),부산항_풍향(deg),부산항_기온(℃),부산항_기압(hPa),부산항_시정(m),sensor_temp_mean
2016-01-01,,,4.909090909090909,12.048951048951048,42.450980392156865,33.387412587412584,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,42.450980392156865
2016-01-02,,,5.381690140845071,12.0,28.741935483870968,33.11197183098592,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,28.741935483870968
2016-01-03,,,6.331914893617021,12.0,21.321428571428573,33.43120567375887,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,21.321428571428573
2016-01-04,,,4.922302158273381,12.0,46.05882352941177,33.084172661870504,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,46.05882352941177
2016-01-05,,,4.987412587412588,12.104895104895105,41.294117647058826,33.086713286713284,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,41.294117647058826
2016-01-06,,,5.183687943262411,12.0,42.38461538461539,33.03049645390071,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,42.38461538461539
2016-01-07,,,5.277857142857143,12.0,46.625,33.14928571428571,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,46.625
2016-01-08,,,6.630935251798562,12.0,46.81481481481482,33.479856115107914,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,46.81481481481482
2016-01-09,,,8.600714285714284,12.0,45.4054054054054,33.5,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,45.4054054054054
2016-01-10,,,8.608391608391608,12.0,36.23076923076923,33.45594405594405,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,36.23076923076923
2016-01-11,,,8.950704225352112,12.0,38.82142857142857,33.394366197183096,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,38.82142857142857
2016-01-12,,,7.301408450704225,11.82394366197183,42.89655172413793,33.3,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,42.89655172413793
2016-01-13,,,8.494444444444445,11.159722222222221,40.916666666666664,32.93611111111111,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,40.916666666666664
2016-01-14,,,8.924475524475525,11.062937062937063,52.71875,33.08111888111888,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,52.71875
2016-01-15,,,7.136363636363637,11.356643356643357,49.93023255813954,33.116083916083916,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,49.93023255813954
2016-01-16,,,5.53986013986014,11.622377622377622,37.85294117647059,33.11468531468532,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,,37.85294117647059
2016-01-17,,,5.491666666666666,12.0,52.3,33.056250000000006,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,52.3
2016-01-18,,,4.931654676258993,11.920863309352518,44.65853658536585,32.841007194244604,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,44.65853658536585
2016-01-19,,,5.059574468085106,11.0,43.208333333333336,32.765248226950355,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,43.208333333333336
2016-01-20,,,6.553237410071942,10.899280575539569,44.93939393939394,32.630215827338134,0.3,,0.4,,,,,,,,,,,,,,,,,,,,,,44.93939393939394
2016-01-21,,,5.767375886524823,10.0,57.95652173913044,32.44751773049645,0.3,,0.4,,,,,,,,,,,,,,,,,,,,,,57.95652173913044
2016-01-22,,,4.453521126760563,10.0,42.80555555555556,32.29014084507042,0.3,,0.4,,,,,,,,,,,,,,,,,,,,,,42.80555555555556
2016-01-23,,,5.6678832116788325,10.0,37.8,32.14744525547445,0.2,,0.4,,,,,,,,,,,,,,,,,,,,,,37.8
2016-01-24,,,6.0197183098591545,9.80281690140845,35.05263157894737,32.16267605633803,0.2,,0.3,,,,,,,,,,,,,,,,,,,,,,35.05263157894737
