2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년,시군구,시도,해수욕장명
,,9730.0,,15022.0,6838.0,9397.0,9915.0,7770.0,15849.0,16320.0,고성군,강원,화진포콘도
,,,,,,,,,4260.0,8085.0,고성군,강원,반비치
42776.0,10549.0,9400.0,3976.0,3620.0,5258.0,11057.0,36943.0,7575.0,6355.0,2460.0,동해시,강원,노봉
163054.0,53899.0,66484.0,13144.0,14139.0,,,52845.0,16130.0,8170.0,8220.0,동해시,강원,동해대진
3360547.0,3355972.0,2428817.0,1127433.0,1095314.0,473956.0,439936.0,382326.0,412773.0,386854.0,512945.0,동해시,강원,망상
191002.0,181212.0,78654.0,33882.0,9727.0,10443.0,,74045.0,34480.0,38800.0,6710.0,동해시,강원,망상리조트
142308.0,52997.0,58707.0,21985.0,21890.0,19377.0,20800.0,77480.0,29170.0,10120.0,15800.0,동해시,강원,어달
360218.0,467774.0,1075697.0,567249.0,680304.0,244221.0,226928.0,292571.0,202474.0,312716.0,321007.0,동해시,강원,추암
85143.0,85411.0,77066.0,22959.0,6828.0,,,,,,,삼척시,강원,궁촌
122186.0,122739.0,92212.0,58106.0,68380.0,,,,12910.0,,,삼척시,강원,덕산
897185.0,897412.0,678988.0,629680.0,731157.0,159240.0,215450.0,223670.0,207462.0,125470.0,112700.0,삼척시,강원,맹방
49157.0,50070.0,39377.0,20946.0,5944.0,6695.0,,,,,,삼척시,강원,문암
46245.0,46438.0,33089.0,18085.0,8144.0,,4365.0,2795.0,8347.0,20930.0,19150.0,삼척시,강원,부남
830235.0,928059.0,926973.0,1465181.0,1993355.0,491685.0,424370.0,429450.0,420471.0,551990.0,614220.0,삼척시,강원,삼척
156247.0,156380.0,165131.0,68628.0,9497.0,,,,,,,삼척시,강원,상맹방
51060.0,51376.0,80669.0,45672.0,2838.0,1629.0,1269.0,,,,,삼척시,강원,오분
381279.0,381534.0,440708.0,223615.0,114414.0,6716.0,10360.0,18960.0,21515.0,29909.0,34780.0,삼척시,강원,용화
47911.0,48526.0,31509.0,17575.0,10610.0,5948.0,9200.0,6680.0,5870.0,9610.0,20.0,삼척시,강원,삼척원평
19515.0,23957.0,23373.0,10630.0,2668.0,,,,,,,삼척시,강원,임원
194766.0,194956.0,166298.0,87117.0,6038.0,2696.0,4750.0,7258.0,7668.0,10575.0,8443.0,삼척시,강원,작은후진
638835.0,735151.0,618148.0,277807.0,140038.0,,9488.0,12270.0,10450.0,17790.0,26850.0,삼척시,강원,장호
198679.0,201639.0,158510.0,93748.0,11895.0,,11230.0,8610.0,,7742.0,13824.0,삼척시,강원,증산
122916.0,123235.0,283392.0,133072.0,6517.0,3710.0,4940.0,6830.0,10120.0,10520.0,20425.0,삼척시,강원,하맹방
138681.0,139115.0,121280.0,,,,,,,,,삼척시,강원,한재밑
43093.0,16295.0,14271.0,22187.0,111741.0,30339.0,19577.0,30199.0,46248.0,46890.0,45088.0,속초시,강원,등대
3540117.0,3515274.0,2987709.0,1979094.0,2536723.0,289066.0,425213.0,945864.0,657963.0,713357.0,822675.0,속초시,강원,속초
90435.0,26960.0,,24324.0,215235.0,26486.0,78946.0,18030.0,28693.0,44025.0,,속초시,강원,외옹치
15116.0,13178.0,8208.0,9908.0,16918.0,6023.0,9489.0,11828.0,23823.0,15769.0,27563.0,양양군,강원,갯마을
8601.0,10420.0,6162.0,4345.0,6793.0,3536.0,3924.0,7473.0,5217.0,11400.0,17878.0,양양군,강원,광진
9405.0,7523.0,10132.0,10926.0,40961.0,22717.0,6465.0,8042.0,22603.0,17725.0,10041.0,양양군,강원,기사문
3939952.0,3726078.0,3368382.0,2800461.0,2639047.0,367917.0,376482.0,456148.0,313180.0,372279.0,332607.0,양양군,강원,낙산
7226.0,8538.0,4345.0,5507.0,15675.0,4972.0,4642.0,7538.0,11732.0,8383.0,14824.0,양양군,강원,남애1리
24911.0,27676.0,15261.0,14141.0,30006.0,16398.0,21469.0,63651.0,106763.0,99684.0,86595.0,양양군,강원,남애3리
7236.0,9180.0,2190.0,2010.0,4546.0,1873.0,3581.0,6909.0,6518.0,5019.0,,양양군,강원,동산
5302.0,6957.0,2188.0,3983.0,4542.0,5609.0,5510.0,6211.0,7392.0,8465.0,,양양군,강원,동산포
97468.0,108945.0,61512.0,43104.0,50762.0,32086.0,15132.0,22763.0,32158.0,17226.0,21401.0,양양군,강원,양양동호
21381.0,17975.0,6216.0,13249.0,18980.0,14410.0,12363.0,15479.0,10276.0,,17266.0,양양군,강원,물치
5861.0,5223.0,4204.0,5795.0,9662.0,13614.0,14125.0,21704.0,18909.0,17723.0,23241.0,양양군,강원,북분
61034.0,59231.0,72938.0,18409.0,41609.0,5357.0,11459.0,15842.0,21720.0,11424.0,18689.0,양양군,강원,설악
25411.0,23856.0,26474.0,6488.0,42778.0,9431.0,7881.0,8230.0,18310.0,16233.0,31609.0,양양군,강원,송전
4651.0,5178.0,5035.0,1779.0,3782.0,1713.0,5400.0,5285.0,5010.0,7087.0,9461.0,양양군,강원,원포
10241.0,10288.0,5004.0,5345.0,35428.0,14502.0,10195.0,14722.0,18803.0,27174.0,16671.0,양양군,강원,인구
13923.0,11117.0,9097.0,4187.0,9294.0,4951.0,5453.0,6643.0,4439.0,12888.0,17071.0,양양군,강원,잔교
7124.0,6697.0,5237.0,8542.0,17151.0,4838.0,5320.0,9817.0,7548.0,15565.0,18325.0,양양군,강원,정암
24240.0,25232.0,13740.0,20641.0,52020.0,19560.0,16513.0,20822.0,23481.0,11362.0,27737.0,양양군,강원,죽도
5662.0,5571.0,4106.0,5732.0,92596.0,14670.0,8608.0,10824.0,12570.0,22339.0,36575.0,양양군,강원,중광정
60807.0,60187.0,20471.0,28282.0,37598.0,48487.0,18508.0,39560.0,63899.0,46851.0,32537.0,양양군,강원,지경
139445.0,136577.0,205364.0,381783.0,357128.0,228071.0,32799.0,57059.0,33209.0,60260.0,101338.0,양양군,강원,하조대
6266.0,2377.0,4002.0,2057.0,2628.0,4144.0,4708.0,5923.0,3617.0,4120.0,5676.0,거제시,경남,구영
68020.0,77460.0,55500.0,55737.0,45740.0,40580.0,49819.0,79719.0,37719.0,85438.0,125955.0,거제시,경남,구조라
33334.0,41390.0,43507.0,30193.0,23765.0,14937.0,29308.0,38659.0,19816.0,53082.0,33234.0,거제시,경남,농소
1448.0,3231.0,5083.0,2055.0,4486.0,3624.0,3668.0,6613.0,6649.0,5287.0,3380.0,거제시,경남,덕원
9650.0,7988.0,14814.0,14925.0,13125.0,7688.0,13691.0,10921.0,12511.0,17733.0,12388.0,거제시,경남,덕포
14895.0,9045.0,17616.0,11590.0,11740.0,11799.0,23052.0,29860.0,14087.0,24468.0,37202.0,거제시,경남,망치
18988.0,13635.0,20972.0,20827.0,27080.0,12512.0,24872.0,17528.0,19718.0,22685.0,24354.0,거제시,경남,명사
21790.0,9906.0,17407.0,11592.0,10567.0,11233.0,9468.0,7891.0,7856.0,6090.0,6758.0,거제시,경남,물안
6920.0,4918.0,4195.0,8130.0,3509.0,15756.0,30470.0,25605.0,12546.0,23198.0,16719.0,거제시,경남,사곡
5866.0,6595.0,13698.0,10350.0,9210.0,8660.0,10896.0,14572.0,11854.0,10568.0,6308.0,거제시,경남,여차
8354.0,3809.0,3257.0,3544.0,10665.0,20754.0,9572.0,19300.0,7609.0,18407.0,21489.0,거제시,경남,거제옥계
48990.0,48460.0,26551.0,46547.0,35530.0,32715.0,41513.0,55957.0,61638.0,72032.0,88891.0,거제시,경남,와현모래숲
,,,,,,,,,,,거제시,경남,죽림
93130.0,96410.0,64965.0,56109.0,48687.0,85886.0,88009.0,90208.0,112704.0,159854.0,129613.0,거제시,경남,학동흑진주몽돌
5135.0,7700.0,7891.0,5720.0,3258.0,7344.0,5079.0,5299.0,3279.0,5627.0,4995.0,거제시,경남,함목
9101.0,6276.0,2685.0,5310.0,4636.0,8088.0,5845.0,12201.0,8006.0,8204.0,8393.0,거제시,경남,황포
46675.0,33060.0,38635.0,32022.0,29579.0,14782.0,19928.0,28585.0,16763.0,21221.0,25529.0,거제시,경남,흥남
14594.0,17178.0,7382.0,6436.0,5130.0,6326.0,11033.0,5709.0,8950.0,5640.0,3151.0,남해군,경남,두곡월포
24798.0,12599.0,6316.0,4830.0,10410.0,10032.0,14964.0,15208.0,15451.0,15785.0,4320.0,남해군,경남,사촌
202066.0,193816.0,166944.0,115272.0,122133.0,84922.0,78759.0,46688.0,60706.0,41267.0,40826.0,남해군,경남,상주은모래비치
4200.0,43364.0,51282.0,9068.0,8945.0,5241.0,11269.0,8299.0,7404.0,9699.0,7674.0,남해군,경남,설리
59975.0,109492.0,103851.0,69906.0,57746.0,25887.0,27042.0,26829.0,23849.0,30913.0,23349.0,남해군,경남,송정솔바람해변
43400.0,43893.0,35305.0,28100.0,42266.0,41367.0,30583.0,44970.0,24518.0,22160.0,20100.0,사천시,경남,남일대
,,,29350.0,39380.0,49020.0,63841.0,73733.0,66350.0,54074.0,69273.0,창원시,경남,광암
8373.0,16085.0,13477.0,12540.0,10297.0,7820.0,11348.0,10999.0,18683.0,21531.0,14278.0,통영시,경남,비진도
4173.0,2739.0,3018.0,4307.0,3583.0,4303.0,3559.0,7079.0,4389.0,5413.0,5183.0,통영시,경남,사량도대항
7311.0,12457.0,15520.0,12953.0,14002.0,22565.0,19374.0,21951.0,13759.0,25933.0,24479.0,통영시,경남,수륙
428610.0,238300.0,286220.0,102150.0,102750.0,10210.0,11469.0,16090.0,22097.0,7920.0,9360.0,경주,경북,관성솔밭해변
67600.0,155850.0,118910.0,57700.0,59000.0,31615.0,45586.0,24250.0,44417.0,40980.0,36780.0,경주,경북,나정고운모래해변
27130.0,49900.0,36000.0,35150.0,43810.0,24620.0,39020.0,18490.0,16920.0,12730.0,15490.0,경주,경북,봉길대왕암해변
41866.0,88700.0,55150.0,63800.0,86250.0,33900.0,32442.0,22954.0,26555.0,24530.0,29750.0,경주,경북,오류고아라해변
30148.0,118500.0,55220.0,30500.0,31500.0,,,,,,,경주,경북,전촌솔밭
2920.0,3524.0,6685.0,4686.0,8523.0,3874.0,3400.0,3960.0,7697.0,7616.0,6957.0,영덕,경북,경정
378820.0,354599.0,397950.0,337000.0,306930.0,28980.0,19375.0,57607.0,84206.0,60662.0,33140.0,영덕,경북,고래불
19870.0,20200.0,8260.0,10620.0,8888.0,3475.0,6466.0,6076.0,8681.0,5714.0,7155.0,영덕,경북,남호
24500.0,24680.0,21060.0,17622.0,9874.0,8356.0,9678.0,6413.0,15686.0,11590.0,10280.0,영덕,경북,영덕대진
2480.0,2612.0,2656.0,1299.0,1619.0,1573.0,1878.0,2127.0,3535.0,2894.0,6698.0,영덕,경북,오보
80150.0,80100.0,75700.0,50730.0,42485.0,16508.0,48691.0,59234.0,77506.0,55087.0,55747.0,영덕,경북,장사
3310.0,5180.0,7477.0,4716.0,3907.0,5120.0,4665.0,5978.0,10994.0,9098.0,9925.0,영덕,경북,하저
43204.0,43138.0,28249.0,26250.0,24221.0,26607.0,33782.0,22729.0,29335.0,24577.0,27544.0,울진,경북,구산
10675.0,7634.0,5646.0,4817.0,6975.0,10965.0,6288.0,,,,,울진,경북,기성망양
16482.0,10600.0,10396.0,5580.0,5332.0,5700.0,3386.0,3987.0,4535.0,3770.0,9828.0,울진,경북,나곡
28420.0,38593.0,25482.0,27694.0,21049.0,13746.0,4574.0,8414.0,4594.0,7312.0,6149.0,울진,경북,망양정
6547.0,6716.0,5441.0,6180.0,4151.0,9121.0,7109.0,5847.0,8703.0,5845.0,,울진,경북,봉평
10243.0,13275.0,8044.0,9414.0,7421.0,11296.0,8700.0,17846.0,8799.0,9545.0,9570.0,울진,경북,후정
29123.0,31565.0,21425.0,17700.0,32240.0,12753.0,8376.0,18798.0,24290.0,16550.0,11462.0,울진,경북,후포
36450.0,54500.0,67700.0,71615.0,48990.0,30922.0,12773.0,25514.0,27900.0,32718.0,48400.0,포항,경북,구룡포
24940.0,20010.0,10820.0,10930.0,18294.0,18704.0,26155.0,15352.0,23280.0,32792.0,12486.0,포항,경북,도구
1905800.0,2238480.0,2042470.0,2479030.0,50080.0,52026.0,31616.0,33530.0,40400.0,57433.0,18007.0,포항,경북,영일대
1717380.0,1739150.0,1772910.0,1510440.0,61330.0,41214.0,28911.0,124760.0,135557.0,32241.0,16850.0,포항,경북,월포
133800.0,58590.0,61340.0,39530.0,16664.0,25303.0,10055.0,18197.0,29463.0,27579.0,16410.0,포항,경북,칠포
117440.0,123800.0,116290.0,67430.0,20690.0,22808.0,11888.0,17540.0,28655.0,22453.0,16979.0,포항,경북,화진
,,,,,,,,,5260.0,8654.0,포항,경북,신창
,,,,,,,,,,14288.0,포항,경북,포항송도
249200.0,290500.0,277650.0,296230.0,209270.0,150550.0,71950.0,232840.0,45000.0,55800.0,53300.0,기장군,부산,일광
196100.0,370170.0,265700.0,270730.0,195700.0,138860.0,45729.0,142750.0,29400.0,36300.0,27100.0,기장군,부산,임랑
4332300.0,5670000.0,7320000.0,7240300.0,5950000.0,1396700.0,1185000.0,2001100.0,1160400.0,1150428.0,2059061.0,사하구,부산,다대포서측
,,,,,,,,,,525984.0,사하구,부산,다대포동측
7530000.0,9480000.0,10521000.0,8437059.0,6800000.0,1820000.0,1051410.0,3635075.0,2140600.0,2624000.0,3021000.0,서구,부산,부산송도
13108000.0,11946010.0,12128000.0,9335000.0,8450000.0,2760000.0,1230014.0,4208343.0,4317900.0,4538704.0,4574131.0,수영구,부산,광안리
4702000.0,4289002.0,4305000.0,4490000.0,4140000.0,1580111.0,1276193.0,1972576.0,2044000.0,2202686.0,1723888.0,해운대구,부산,부산송정
16085000.0,14497500.0,13709000.0,11260000.0,11202000.0,6892996.0,5040678.0,8814212.0,8218718.0,9116929.0,9994915.0,해운대구,부산,해운대
1673350.0,1851000.0,518300.0,389561.0,529500.0,101801.0,93152.0,299367.0,289160.0,150485.0,327376.0,동구,울산,일산
620610.0,391851.0,480035.0,424115.0,358030.0,54790.0,129480.0,579989.0,1068665.0,850142.0,868887.0,울주군,울산,진하
1854.0,1970.0,,,4250.0,1482.0,,903.0,1516.0,874.0,959.0,옹진군,인천,떼뿌루
3104.0,4180.0,,4420.0,3230.0,1555.0,,1782.0,1568.0,916.0,1045.0,옹진군,인천,서포리
4910.0,5354.0,,,2300.0,3287.0,,3737.0,6437.0,2570.0,6332.0,옹진군,인천,수기
68280.0,62720.0,,88168.0,66234.0,92970.0,,63500.0,67565.0,72306.0,70413.0,옹진군,인천,십리포
11700.0,4451.0,,2027.0,2240.0,1899.0,,1832.0,1730.0,1329.0,1451.0,옹진군,인천,옹암
3532.0,1345.0,,,1640.0,530.0,,814.0,654.0,1717.0,1585.0,옹진군,인천,이일레
39750.0,36960.0,,41889.0,35235.0,36276.0,,43162.0,33553.0,32062.0,26649.0,옹진군,인천,장경리
3912.0,1231.0,,,2750.0,1189.0,,1592.0,694.0,1065.0,1158.0,옹진군,인천,장골
84160.0,53040.0,,65755.0,64480.0,21082.0,4100.0,87360.0,292800.0,238864.0,192260.0,중구,인천,왕산
118850.0,108740.0,,126515.0,120151.0,56000.0,9200.0,201200.0,376130.0,575682.0,408590.0,중구,인천,을왕리
38870.0,40965.0,,30048.0,111228.0,75508.0,14348.0,119412.0,171600.0,197400.0,153800.0,중구,인천,하나개
3876.0,4441.0,4996.0,2910.0,3953.0,3086.0,3166.0,1457.0,1498.0,1686.0,1288.0,고흥군,전남,금장
7550.0,5425.0,5795.0,5384.0,8685.0,5002.0,3925.0,3624.0,2094.0,2440.0,2217.0,고흥군,전남,나로우주
