date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day
2014-07-31,21117.0,18117
2014-08-01,21301.0,17282
2014-08-02,26501.0,16933
2014-08-03,30958.0,32446
2014-08-04,30409.0,25177
2014-08-05,29898.0,22776
2014-08-06,26848.0,20193
2014-08-07,30345.0,18124
2014-08-08,28550.0,17689
2014-08-09,28051.0,18086
2014-08-10,28975.0,19792
2014-08-11,31687.0,19231
2014-08-12,27425.0,17864
2014-08-13,26057.0,17789
2014-08-14,30580.0,25882
2014-08-15,30070.0,21829
2014-08-16,26761.0,20559
2014-08-17,25717.0,18805
2014-08-18,33202.0,44285
2014-08-19,28598.0,30710
2014-08-20,34612.0,28360
2014-08-21,28279.0,28422
2014-08-22,31118.0,22146
2014-08-23,28550.0,20207
2014-08-24,27647.0,19427
2014-08-25,31015.0,32146
2014-08-26,25410.0,28760
2014-08-27,27083.0,24161
2014-08-28,27197.0,20310
2014-08-29,29376.0,18821
2014-08-30,31933.0,18567
2014-08-31,32832.0,18127
2014-09-01,29991.0,18157
2014-09-02,27696.0,17352
2014-09-03,27655.0,23066
2014-09-04,32657.0,19703
2014-09-05,31466.0,19607
2014-09-06,30645.0,19672
2014-09-07,29263.0,17904
2014-09-08,30221.0,14947
2014-09-09,30577.0,16380
2014-09-10,30172.0,17515
2014-09-11,28563.0,17232
2014-09-12,27724.0,16941
2014-09-13,29607.0,16954
2014-09-14,28963.0,16794
2014-09-15,27478.0,16154
2014-09-16,27957.0,18060
2014-09-17,29818.0,18010
2014-09-18,25987.0,17199
2014-09-19,21369.0,17315
2014-09-20,23723.0,17490
2014-09-21,27528.0,17239
2014-09-22,27729.0,17165
2014-09-23,31092.0,16759
2014-09-24,32040.0,30412
2014-09-25,24764.0,21901
2014-09-26,24955.0,19509
2014-09-27,24522.0,22545
2014-09-28,25704.0,23415
2014-09-29,24633.0,19500
2014-09-30,24836.0,20017
2014-10-01,27699.0,19859
2014-10-02,26048.0,19500
2014-10-03,25131.0,20444
2014-10-04,21667.0,18545
2014-10-05,20291.0,19769
2014-10-06,20821.0,18691
2014-10-07,21187.0,21631
2014-10-08,20766.0,19921
2014-10-09,21637.0,19971
2014-10-10,20491.0,18814
2014-10-11,20851.0,19411
2014-10-12,22695.0,18102
2014-10-13,27177.0,23996
2014-10-14,23180.0,18471
2014-10-15,24571.0,18067
2014-10-16,22282.0,17839
2014-10-17,22382.0,17515
2014-10-18,27254.0,18306
2014-10-19,22174.0,17587
2014-10-20,27977.0,19811
2014-10-21,26897.0,21204
2014-10-22,28665.0,25718
2014-10-23,25595.0,21086
2014-10-24,25828.0,21262
2014-10-25,24989.0,18965
2014-10-26,24853.0,18521
2014-10-27,25988.0,19429
2014-10-28,25250.0,18991
2014-10-29,24762.0,19953
2014-10-30,24887.0,18394
2014-10-31,29965.0,19714
2014-11-01,28252.0,20135
2014-11-02,25924.0,18957
2014-11-03,25252.0,19452
2014-11-04,23857.0,19137
2014-11-05,23363.0,19534
2014-11-06,21936.0,18613
2014-11-07,22873.0,19340
2014-11-08,23631.0,18392
2014-11-09,24014.0,19470
2014-11-10,24924.0,19059
2014-11-11,23753.0,18406
2014-11-12,23363.0,19094
2014-11-13,23011.0,18006
2014-11-14,22509.0,18426
2014-11-15,21066.0,18796
2014-11-16,21309.0,18911
2014-11-17,20608.0,19407
2014-11-18,20047.0,17661
2014-11-19,20061.0,18962
2014-11-20,20073.0,17152
2014-11-21,19924.0,17202
2014-11-22,20781.0,19382
2014-11-23,24931.0,17213
2014-11-24,26459.0,20043
2014-11-25,26043.0,20162
2014-11-26,22472.0,19224
2014-11-27,22454.0,18083
2014-11-28,25406.0,18500
2014-11-29,23862.0,18971
2014-11-30,23068.0,17603
2014-12-01,22407.0,19750
2014-12-02,20055.0,18517
2014-12-03,20227.0,17655
2014-12-04,20271.0,17294
2014-12-05,20291.0,17355
2014-12-06,20705.0,18724
2014-12-07,21233.0,16999
2014-12-08,21846.0,18634
2014-12-09,22952.0,17218
2014-12-10,23072.0,17810
2014-12-11,22439.0,18335
2014-12-12,20019.0,17896
2014-12-13,19763.0,17058
2014-12-14,19190.0,18245
2014-12-15,19021.0,17258
2014-12-16,21154.0,17549
2014-12-17,19445.0,17048
2014-12-18,19306.0,16566
2014-12-19,19404.0,17493
2014-12-20,23085.0,17937
2014-12-21,21223.0,17591
2014-12-22,19615.0,18370
2014-12-23,19386.0,17446
2014-12-24,19321.0,16990
2014-12-25,19798.0,18168
2014-12-26,20047.0,16847
2014-12-27,22629.0,17492
2014-12-28,21747.0,16704
2014-12-29,20826.0,16490
2014-12-30,19574.0,17282
2014-12-31,19827.0,16151
2015-01-01,18959.0,15631
2015-01-02,19760.0,17264
2015-01-03,19078.0,16958
2015-01-04,19739.0,17140
2015-01-05,21679.0,17332
2015-01-06,21944.0,18983
2015-01-07,21331.0,18053
2015-01-08,20505.0,17039
2015-01-09,20724.0,17700
2015-01-10,21942.0,17354
2015-01-11,22221.0,16773
2015-01-12,20535.0,17238
2015-01-13,19974.0,16279
2015-01-14,20387.0,15975
2015-01-15,21837.0,18025
2015-01-16,20349.0,16914
2015-01-17,20550.0,17298
2015-01-18,19531.0,16931
2015-01-19,20621.0,16694
2015-01-20,20300.0,17070
2015-01-21,20718.0,20696
2015-01-22,22399.0,18070
2015-01-23,19720.0,18592
2015-01-24,20275.0,18625
2015-01-25,18909.0,17857
2015-01-26,21445.0,18442
2015-01-27,17951.0,16899
2015-01-28,19536.0,17145
2015-01-29,19874.0,17384
2015-01-30,19140.0,17239
2015-01-31,18718.0,17686
2015-02-01,18412.0,17295
2015-02-02,18826.0,17782
2015-02-03,18643.0,17753
2015-02-04,18618.0,16445
2015-02-05,18307.0,17671
