date,ecoli,any_exceed,precipitation_mm,temperature_2m,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,month,정관사업단_vol,정관사업단_vol_1d_lag,정관사업단_vol_3d_sum_lag
2015-06-16,2400.0,1,1.3,21.212500000000002,0.3,1.299999999999993,4.0999999999999925,21.508333333333336,21.212500000000002,6.0,20941.0,20473.0,62495.0
2015-07-02,98.0,0,0.0,21.75,2.4000000000000004,42.099999999999994,42.29999999999999,22.070833333333336,21.75,7.0,20883.0,22248.0,65149.0
2015-07-16,31.0,0,0.0,21.429166666666664,0.0,5.1,82.6,23.945833333333336,21.429166666666664,7.0,20254.0,23893.0,77664.0
2015-07-28,41.0,0,0.8,27.59583333333333,0.2,0.2,12.6,26.974999999999998,27.59583333333333,7.0,21068.0,21723.0,67651.0
2015-08-04,190.0,0,0.0,26.912499999999998,0.0,0.0,0.0,26.84583333333333,26.912499999999998,8.0,20576.0,20136.0,57963.0
2015-09-21,97.0,0,0.0,21.224999999999998,0.0,2.0,37.9,20.412499999999998,21.224999999999998,9.0,22731.0,24401.0,74666.0
2016-05-12,305.0,0,0.0,16.508333333333333,0.0,21.2,21.2,14.879166666666668,16.508333333333333,5.0,22200.0,22650.0,67239.0
2016-07-11,3100.0,1,4.5,24.90416666666667,0.0,2.7,5.2,25.425,24.90416666666667,7.0,24131.0,25302.0,73965.0
2016-07-19,73.0,0,0.0,24.287499999999998,0.0,6.000000000000001,7.300000000000001,24.6875,24.287499999999998,7.0,24388.0,24352.0,74934.0
2016-07-26,470.0,0,0.7,27.354166666666668,4.2,4.900000000000001,4.9,27.025000000000002,27.354166666666668,7.0,24414.0,22871.0,69578.0
2016-08-09,210.0,0,0.1,27.745833333333334,1.0,1.0000000000000036,1.4,29.229166666666668,27.745833333333334,8.0,21844.0,23464.0,70160.0
2016-08-17,320.0,0,0.0,27.78333333333333,32.5,36.300000000000004,36.9,27.041666666666668,27.78333333333333,8.0,22148.0,23258.0,68607.0
2016-08-22,110.0,0,0.0,27.483333333333334,0.0,0.0,0.0,27.633333333333336,27.483333333333334,8.0,22659.0,21915.0,67793.0
