date,examinLcDetail,distance_to_outfall,ecoli,any_exceed,precipitation_mm,temperature_2m,wind_speed_m_s,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,wind_speed_1d_lag,month,is_summer,정관사업단_vol,정관사업단_vol_1d_lag,정관사업단_vol_3d_sum_lag,log_ecoli
2015-09-21,,1.0,75.0,0,0.0,21.224999999999998,8.820833333333333,0.0,2.0,37.9,20.412499999999998,21.224999999999998,4.554166666666666,9.0,0.0,22731.0,24401.0,74666.0,4.330733340286331
2015-09-21,,1.0,97.0,0,0.0,21.224999999999998,8.820833333333333,0.0,2.0,37.9,20.412499999999998,21.224999999999998,4.554166666666666,9.0,0.0,22731.0,24401.0,74666.0,4.584967478670572
2015-09-21,,1.0,1.0,0,0.0,21.224999999999998,8.820833333333333,0.0,2.0,37.9,20.412499999999998,21.224999999999998,4.554166666666666,9.0,0.0,22731.0,24401.0,74666.0,0.6931471805599453
2015-08-04,,1.0,190.0,0,0.0,26.912499999999998,14.945833333333333,0.0,0.0,0.0,26.84583333333333,26.912499999999998,12.595833333333333,8.0,1.0,20576.0,20136.0,57963.0,5.25227342804663
2015-08-04,,1.0,20.0,0,0.0,26.912499999999998,14.945833333333333,0.0,0.0,0.0,26.84583333333333,26.912499999999998,12.595833333333333,8.0,1.0,20576.0,20136.0,57963.0,3.044522437723423
2015-08-04,,1.0,41.0,0,0.0,26.912499999999998,14.945833333333333,0.0,0.0,0.0,26.84583333333333,26.912499999999998,12.595833333333333,8.0,1.0,20576.0,20136.0,57963.0,3.7376696182833684
2015-07-28,,1.0,10.0,0,0.8,27.59583333333333,10.025,0.2,0.2,12.6,26.974999999999998,27.59583333333333,9.237499999999999,7.0,1.0,21068.0,21723.0,67651.0,2.3978952727983707
2015-07-28,,1.0,31.0,0,0.8,27.59583333333333,10.025,0.2,0.2,12.6,26.974999999999998,27.59583333333333,9.237499999999999,7.0,1.0,21068.0,21723.0,67651.0,3.4657359027997265
2015-07-28,,1.0,41.0,0,0.8,27.59583333333333,10.025,0.2,0.2,12.6,26.974999999999998,27.59583333333333,9.237499999999999,7.0,1.0,21068.0,21723.0,67651.0,3.7376696182833684
2015-07-16,,1.0,20.0,0,0.0,21.429166666666664,28.195833333333336,0.0,5.1,82.6,23.945833333333336,21.429166666666664,10.174999999999999,7.0,1.0,20254.0,23893.0,77664.0,3.044522437723423
