date,examinLcDetail,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed,precip_daily,temp_daily,wind_max,wind_dir,solar_radiation_sum,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m),year,month,is_weekend,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,CSO_Flag_Rain,dry_days_count,temp_1d_lag,wind_max_1d_lag,solar_radiation_1d_lag,dongbu_discharge_1d_lag,dongbu_discharge_3d_mean,haeundae_sewage_discharge_1d_lag,haeundae_sewage_discharge_3d_mean,송정_유속(cm/s)_1d_lag,송정_수온(℃)_1d_lag,송정_유의파고(m)_1d_lag,송정_유의파주기(sec)_1d_lag,송정_최대파고(m)_1d_lag,송정_최대파주기(sec)_1d_lag,송정_풍속(m/s)_1d_lag,송정_풍향(deg)_1d_lag
2015-07-28,E,440.0,1.0,False,False,0,0.8,27.0,14.3,238,20.87,,38171,,,,,,,,,,,,,,,,2015,7,0,0.2,0.2,0.2,12.6,0,0,26.5,19.1,24.19,,,39017.0,39613.333333333336,,,,,,,,
2015-08-04,A,160.0,10.0,False,False,0,0.0,26.5,18.6,229,25.69,,37977,,,,,,,,,,,,,,,,2015,8,0,0.0,0.0,0.0,0.0,0,6,26.4,19.5,25.12,,,38919.0,39625.333333333336,,,,,,,,
2015-08-04,B,120.0,1.0,False,False,0,0.0,26.5,18.6,229,25.69,,37977,,,,,,,,,,,,,,,,2015,8,0,0.0,0.0,0.0,0.0,0,6,26.4,19.5,25.12,,,38919.0,39625.333333333336,,,,,,,,
2015-08-04,C,52.0,1.0,False,False,0,0.0,26.5,18.6,229,25.69,,37977,,,,,,,,,,,,,,,,2015,8,0,0.0,0.0,0.0,0.0,0,6,26.4,19.5,25.12,,,38919.0,39625.333333333336,,,,,,,,
2015-08-04,D,75.0,15.0,False,False,0,0.0,26.5,18.6,229,25.69,,37977,,,,,,,,,,,,,,,,2015,8,0,0.0,0.0,0.0,0.0,0,6,26.4,19.5,25.12,,,38919.0,39625.333333333336,,,,,,,,
2015-08-04,E,230.0,10.0,False,False,0,0.0,26.5,18.6,229,25.69,,37977,,,,,,,,,,,,,,,,2015,8,0,0.0,0.0,0.0,0.0,0,6,26.4,19.5,25.12,,,38919.0,39625.333333333336,,,,,,,,
2015-09-21,A,10.0,1.0,False,False,0,0.0,21.1,15.9,58,19.11,,39418,,,,,,,,,,,,,,,,2015,9,0,0.0,0.0,2.0,37.9,0,3,20.3,7.7,17.04,,,42079.0,42002.666666666664,,,,,,,,
2015-09-21,B,1.0,1.0,False,False,0,0.0,21.1,15.9,58,19.11,,39418,,,,,,,,,,,,,,,,2015,9,0,0.0,0.0,2.0,37.9,0,3,20.3,7.7,17.04,,,42079.0,42002.666666666664,,,,,,,,
2015-09-21,C,10.0,1.0,False,False,0,0.0,21.1,15.9,58,19.11,,39418,,,,,,,,,,,,,,,,2015,9,0,0.0,0.0,2.0,37.9,0,3,20.3,7.7,17.04,,,42079.0,42002.666666666664,,,,,,,,
2015-09-21,D,10.0,5.0,False,False,0,0.0,21.1,15.9,58,19.11,,39418,,,,,,,,,,,,,,,,2015,9,0,0.0,0.0,2.0,37.9,0,3,20.3,7.7,17.04,,,42079.0,42002.666666666664,,,,,,,,
2015-09-21,E,10.0,1.0,False,False,0,0.0,21.1,15.9,58,19.11,,39418,,,,,,,,,,,,,,,,2015,9,0,0.0,0.0,2.0,37.9,0,3,20.3,7.7,17.04,,,42079.0,42002.666666666664,,,,,,,,
