date,examinLcDetail,ecoli_max,enterococcus_max
2020-07-17,아쿠아리움,1.0,1.0
2020-07-17,엘시티 더 샵,1.0,5.0
2020-07-17,조선비치호텔,1.0,1.0
2020-07-17,파라다이스호텔,1.0,1.0
2020-07-21,그린나래호텔,146.0,5.0
2020-07-21,아쿠아리움,135.0,1.0
2020-07-21,엘시티 더 샵,364.0,10.0
2020-07-21,조선비치호텔,142.0,1.0
2020-07-21,파라다이스호텔,110.0,21.0
2020-08-04,그린나래호텔,173.0,16.0
2020-08-04,아쿠아리움,1187.0,26.0
2020-08-04,엘시티 더 샵,148.0,10.0
2020-08-04,조선비치호텔,275.0,37.0
2020-08-04,파라다이스호텔,86.0,10.0
2020-08-14,그린나래호텔,505.0,21.0
2020-08-14,아쿠아리움,490.0,21.0
2020-08-14,엘시티 더 샵,543.0,32.0
2020-08-14,조선비치호텔,535.0,42.0
2020-08-14,파라다이스호텔,520.0,21.0
2020-08-19,그린나래호텔,20.0,1.0
2020-08-19,아쿠아리움,1.0,10.0
2020-08-19,엘시티 더 샵,10.0,5.0
2020-08-19,조선비치호텔,31.0,1.0
2020-08-19,파라다이스호텔,1.0,1.0
2020-09-15,그린나래호텔,10.0,5.0
2020-09-15,아쿠아리움,31.0,5.0
2020-09-15,엘시티 더 샵,1.0,5.0
2020-09-15,조선비치호텔,1.0,1.0
2020-09-15,파라다이스호텔,10.0,16.0
2021-05-25,그린나래호텔,1.0,1.0
2021-05-25,부산아쿠아리움,10.0,5.0
2021-05-25,엘시티더샵,20.0,5.0
2021-05-25,조선비치호텔 옆 계단,1.0,1.0
2021-05-25,파라다이스호텔 신관~구관,20.0,5.0
2021-06-08,그린나래호텔,1.0,63.0
2021-06-08,부산아쿠아리움,1.0,1.0
2021-06-08,엘시티더샵,275.0,21.0
2021-06-08,조선비치호텔 옆 계단,1.0,85.0
2021-06-08,파라다이스호텔 신관~구관,175.0,16.0
2021-06-22,그린나래호텔,1.0,5.0
2021-06-22,부산아쿠아리움,1.0,1.0
2021-06-22,엘시티더샵,1.0,10.0
2021-06-22,조선비치호텔 옆 계단,10.0,21.0
2021-06-22,파라다이스호텔 신관~구관,1.0,5.0
2021-07-15,그린나래호텔,41.0,5.0
2021-07-15,부산아쿠아리움,20.0,1.0
2021-07-15,엘시티더샵,10.0,5.0
2021-07-15,조선비치호텔 옆 계단,1.0,1.0
2021-07-15,파라다이스호텔 신관~구관,85.0,1.0
2021-07-22,그린나래호텔,1.0,1.0
2021-07-22,부산아쿠아리움,1.0,1.0
2021-07-22,엘시티더샵,20.0,5.0
2021-07-22,조선비치호텔 옆 계단,1.0,5.0
2021-07-22,파라다이스호텔 신관~구관,10.0,1.0
2021-07-29,그린나래호텔,85.0,26.0
2021-07-29,부산아쿠아리움,97.0,26.0
2021-07-29,엘시티더샵,158.0,21.0
2021-07-29,조선비치호텔 옆 계단,75.0,10.0
2021-07-29,파라다이스호텔 신관~구관,173.0,43.0
2021-08-03,그린나래호텔,10.0,1.0
2021-08-03,부산아쿠아리움,10.0,1.0
2021-08-03,엘시티더샵,1.0,5.0
2021-08-03,조선비치호텔 옆 계단,1.0,1.0
2021-08-03,파라다이스호텔 신관~구관,10.0,5.0
2021-08-10,그린나래호텔,1.0,5.0
2021-08-10,부산아쿠아리움,10.0,1.0
2021-08-10,엘시티더샵,20.0,1.0
2021-08-10,조선비치호텔 옆 계단,1.0,5.0
2021-08-10,파라다이스호텔 신관~구관,1.0,1.0
2021-08-31,그린나래호텔,120.0,16.0
2021-08-31,부산아쿠아리움,95.0,1.0
2021-08-31,엘시티더샵,120.0,32.0
2021-08-31,조선비치호텔 옆 계단,97.0,5.0
2021-08-31,파라다이스호텔 신관~구관,241.0,16.0
